record_id,category,cluster_id,Flavor,Product Type,Retail UPC,Packing Type,Pack Quantity,Brand,Size/Weight,Manufacturer Stock Number,source,title,description
2697434,Grocery And Gourmet Food,535261,n/a,n/a,n/a,Glass,n/a,Stolzle,11 oz,S3500015,www.katom.com,"""Stolzle S3500015 New York Series 11-oz Double Old Fashioned Glass"" Glass ""","""Double Old Fashioned Glass, 11 oz., Stolzle, New York Series""@en "
10576019,Grocery And Gourmet Food,535261,n/a,n/a,n/a,Case,6.0,Anchor Hocking,11 oz.,S3500015,www.rewonline.com,"""Anchor Hocking S3500015 Glass Old Fashioned"" "" Anchor Fashioned | Rocks Glass""","""Double Old Fashioned Glass, 11 oz., Stolzle, New York Series (priced per case, packed 6 each per case)""@en "
6316094,Grocery And Gourmet Food,794953,n/a,Kitchen and Dining Accessories,n/a,n/a,1.0,Stolzle,11.5-oz,S3510016,www.katom.com,"""Stolzle S3510016 Experience 11.5-oz Double Old Fashioned Glass"" Glass ""","""Double Old Fashioned Glass, 11-1/2 oz., Stolzle, Experience""@en "
2954954,Grocery And Gourmet Food,794953,n/a,Kitchen and Dining Accessories,n/a,Case,6.0,Anchor Hocking,11-1/2 oz.,S3510016,www.rewonline.com,"""Anchor Hocking S3510016 Glass Old Fashioned"" "" Anchor Fashioned | Rocks Glass""","""Double Old Fashioned Glass, 11-1/2 oz., Stolzle, Experience (priced per case, packed 6 each per case)""@en "
8627196,Grocery And Gourmet Food,1689890,n/a,Double Old Fashioned Glass,n/a,n/a,n/a,Stolzle,14-3/4 oz.,S3500016,www.katom.com,"""Stolzle S3500016 Large New York Series 14-3/4-oz Double Old Fashioned Glass"" Glass ""","""Double Old Fashioned Glass, 14-3/4 oz., large, Stolzle, New York Series""@en "
11419433,Grocery And Gourmet Food,1689890,n/a,n/a,n/a,Case,6.0,Anchor Hocking,14-3/4 oz.,S3500016,www.rewonline.com,"""Anchor Hocking S3500016 Glass Old Fashioned"" "" Anchor Fashioned | Rocks Glass""","""Double Old Fashioned Glass, 14-3/4 oz., large, Stolzle, New York Series (priced per case, packed 6 each per case)""@en "
14158023,Grocery And Gourmet Food,2082299,n/a,Snacks,044000015923,n/a,n/a,Nabisco,n/a,CDB15923,www.officesupply.com,""" Nabisco Mini Oreo Bite Size Snacks ""-US ""Nabisco - CDB15923 | OfficeSupply.com""-US",
13571059,Grocery And Gourmet Food,2082299,Chocolate,n/a,044000015923,Single Serve,n/a,Nabisco,8 oz,CDB15923,www.ontimesupplies.com,"""Oreo Minis - Single Serve, 8 oz Snak Sak"" Serve by Nabisco® CDB15923 OnTimeSupplies.com""","""Take a mini-break with mini-chocolate sandwich cookies. Your favorite chocolate treats, with delicious vanilla-cream filling are now bite-sized. An excellent choice for purses or backpacks. Mini-chocolate sandwich cookies are a perfect after school snack, or a yummy treat on-the-go. 
"" "
15134680,Grocery And Gourmet Food,2082299,Oreo®,n/a,044000015923,Bag,n/a,Nabisco,8.0 oz,n/a,www.restockit.com,"""Nabisco Oreo Minis - Single Serve"" "" Nabisco Serve 8 oz Snak Sak CDB15923 ReStockIt ""","""Take a mini-break with mini-chocolate sandwich cookies. Your favorite chocolate treats, with delicious vanilla-cream filling are now bite-sized. An excellent choice for purses or backpacks. Mini-chocolate sandwich cookies are a perfect after school snack, or a yummy treat on-the-go. Food Type: Cookie; Flavor: Oreo®; Capacity (Weight): 8.0 oz; Packing Type: Bag. UPC: 044000015923
""@en "
10500522,Grocery And Gourmet Food,3444398,n/a,Vase,n/a,n/a,3.0,Waterford,5in,n/a,canada.waterford.com,"""Lismore Candy 5in Bud Vase"" Vase - Waterford | CA""","""A sweet trio of Classic Lismore Bud Vases present petite treatments of three traditional silhouettes ideal for the darling buds any time.""@en "
