category,cluster_id,Brand,Product Type,Packing Type,Flavor,Size/Weight,Pack Quantity,Manufacturer Stock Number,Retail UPC
Grocery And Gourmet Food,535261,Anchor Hocking,Kitchen and Dining Accessories,case,n/a,312,6 per case,S3500015,n/a
Grocery And Gourmet Food,794953,Anchor Hocking,Kitchen and Dining Accessories,case,n/a,326,6 per case,S3510016,n/a
Grocery And Gourmet Food,1689890,Stoelzle,Kitchen and Dining Accessories,case,n/a,418,6 per case,S3500016,n/a
Grocery And Gourmet Food,2082299,Nabisco,Snacks and Breakfast,bag,oreo,227,n/a,CDB15923,044000015923
Grocery And Gourmet Food,3444398,Waterford,Kitchen and Dining Accessories,n/a,n/a,n/a,n/a,n/a,n/a
Grocery And Gourmet Food,3941540,Homefree,Snacks and Breakfast,pack,double chocolate chip,27,30 per carton,HMF01948,n/a
Grocery And Gourmet Food,3941668,Homefree,Snacks and Breakfast,pack,chocolate chip,31,30 per carton,HMF01873,n/a
Grocery And Gourmet Food,3946038,Homefree,Snacks and Breakfast,pack,"chocolate chip, double chocolate chip, vanilla",907,30 per carton,HMF01305,n/a
Grocery And Gourmet Food,5187429,Dixie,Coffee and Tea,pack,n/a,454,50 per pack,DXE5356CD,078731987204
Grocery And Gourmet Food,5970071,Caf̩ Bustelo,Coffee and Tea,n/a,espresso,284,n/a,FOL00050,074471000500
Grocery And Gourmet Food,6590518,Melitta,Coffee and Tea,box,medium roast,n/a,18 per box,MLA75415,082846801195
Grocery And Gourmet Food,8272790,N'Joy,Sweeteners and Sugars,canister,plain,624,8 per carton,NJO827820,086631906980
Grocery And Gourmet Food,10248100,Nestl̩,Beverages,bottle,n/a,479,40 per carton,NLE1039242,071142817801
Grocery And Gourmet Food,12744890,Grandma's,Snacks and Breakfast,tray,"chocolate chip, peanut butter, oatmeal raisin, chocolate brownie, vanilla cr̬me",71,36,LAY13256,028400225960
Grocery And Gourmet Food,12853803,Emerald,Snacks and Breakfast,bag,cocoa roasted almonds,142,6 per carton,DFD86364,010300863649
Grocery And Gourmet Food,13611606,Mr. Coffee,Coffee and Tea,n/a,n/a,n/a,n/a,BVMC-SJX33GT,n/a
Grocery And Gourmet Food,15570792,Tiesta Tea,Kitchen and Dining Accessories,n/a,n/a,454,n/a,TIE69913,799632669913
Grocery And Gourmet Food,15581626,Mighty Leaf Tea,Coffee and Tea,box,organic spring jasmine,37,15 per box,MLC40016,656252400169
Grocery And Gourmet Food,16042992,Quaker,Snacks and Breakfast,cup,"apple, walnut",75,12 per carton,QKR15504,030000315507
Grocery And Gourmet Food,16273916,Nabisco,Snacks and Breakfast,pack,chocolate chip,23,6 per box,CDB05343,044000053437
