category,cluster_id,Manufacturer,Product Type,Width,Depth,Material,Height,Color,Manufacturer Stock Number,Heat,Voltage,Retail UPC
Home And Garden,979634,Advance Tabco,"Furniture, Storage, Racks and Fixtures",304.8,76.2,stainless steel,n/a,n/a,VCTF-3010,n/a,n/a,n/a
Home And Garden,224800,Cambro,"Furniture, Storage, Racks and Fixtures",121.9,61.0,non-corrosive composite,182.9,Gray and Metallic,EA244872580,n/a,n/a,n/a
Home And Garden,1713760,Duke,"Furniture, Storage, Racks and Fixtures",91.4,91.4,stainless steel,91.4,n/a,416S-3636-5R,n/a,n/a,n/a
Home And Garden,263577,Duke,"Furniture, Storage, Racks and Fixtures",121.9,76.2,galvanized,91.4,n/a,314-3048-2R,n/a,n/a,n/a
Home And Garden,1230478,Duke,"Furniture, Storage, Racks and Fixtures",121.9,76.2,galvanized,91.4,n/a,416-3048-5R,n/a,n/a,n/a
Home And Garden,15448066,Webster,"Cleaning, Sinks, Maintenance Equipment and Trash Disposal",61.0,n/a,low density resin,68.6,White,WBIHAB6DK50CT,n/a,n/a,041215111372
Home And Garden,532283,Maytag,Dishwashers and related Equipment,61.0,n/a,stainless steel,87.6,Gray and Metallic,MDB4949SDZ,n/a,120V,883049409122
Home And Garden,124945,Southbend,Food and Drink Preparation and Cooking Equipment,121.9,n/a,stainless steel,n/a,n/a,4484EE-6L,gas,n/a,n/a
Home And Garden,13932856,Jaguar Plastics,"Cleaning, Sinks, Maintenance Equipment and Trash Disposal",96.5,n/a,polyethylene,152.4,No Color/Transparent,JAGH3860H,n/a,n/a,098241052131
Home And Garden,1727033,Focus Foodservice LLC,"Accessories, Miscellaneous",n/a,n/a,polyurethane,n/a,n/a,FTC34105HD,gas,n/a,n/a
Home And Garden,9699817,Waterford,Tableware,n/a,n/a,fine crystal,n/a,Black,n/a,n/a,n/a,n/a
Home And Garden,2998984,Reckitt Benckiser,"Cleaning, Sinks, Maintenance Equipment and Trash Disposal",n/a,n/a,n/a,n/a,n/a,RAC80833EA,n/a,n/a,019200808330
Home And Garden,520505,Krowne,"Ice Machines, Bins and Makers",76.2,53.3,stainless steel,n/a,n/a,KR21-30DP,n/a,n/a,n/a
Home And Garden,1440278,Toastmaster,Food and Drink Preparation and Cooking Equipment,n/a,n/a,nickel plated steel,n/a,n/a,TMFG30-LP,gas,n/a,n/a
Home And Garden,2739105,AmRep,"Cleaning, Sinks, Maintenance Equipment and Trash Disposal",n/a,n/a,glass,n/a,n/a,AMR1038695,n/a,n/a,723783400101
Home And Garden,1522785,Hoshizaki,"Ice Machines, Bins and Makers",n/a,n/a,polyethylene,n/a,Gray and Metallic,DKM-500BWH,n/a,115V,n/a
Home And Garden,246121,Edlund,Food and Drink Preparation and Cooking Equipment,n/a,n/a,stainless steel,n/a,n/a,354XL/230V,electric,230V,n/a
Home And Garden,1091077,Rubbermaid,"Carts, Dollies and Transportation",76.2,45.7,steel,n/a,Red,FG9T5500RED,n/a,n/a,n/a
Home And Garden,414744,Krowne,"Furniture, Storage, Racks and Fixtures",61.0,66.0,stainless steel,n/a,n/a,KR21-GSB3,n/a,n/a,n/a
Home And Garden,1560179,Southbend,Food and Drink Preparation and Cooking Equipment,91.4,n/a,stainless steel,n/a,n/a,4361D-2TL,gas,n/a,n/a
Home And Garden,1650553,Southbend,Food and Drink Preparation and Cooking Equipment,152.4,n/a,stainless steel,n/a,n/a,4601DD-3GR,gas,n/a,n/a
Home And Garden,1154746,Cambro,"Food and Beverage Storage, Dispensers, Serving, Display and Refrigeration",22.9,41.9,plastic,61.6,Black,500LCD110,n/a,n/a,n/a
Home And Garden,367339,Cambro,"Food and Beverage Storage, Dispensers, Serving, Display and Refrigeration",216.2,85.1,polyethylene,179.1,Red,KVC856-158,n/a,n/a,099511230778
Home And Garden,689869,New Age,"Furniture, Storage, Racks and Fixtures",121.9,45.7,aluminum,76.2,n/a,21848ES30P,n/a,n/a,n/a
Home And Garden,3207654,Rubbermaid,"Accessories, Miscellaneous",71.1,40.6,latex-free vinyl,n/a,White,RCP1982726,n/a,n/a,086876230123
Home And Garden,11112144,Crown Mats & Matting,"Accessories, Miscellaneous",182.9,121.9,polypropylene,n/a,Gray and Metallic,CWNFN0046GY,n/a,n/a,023244919846
Home And Garden,5052770,Read Right/Advantus,"Cleaning, Sinks, Maintenance Equipment and Trash Disposal",12.7,15.2,cloth,n/a,n/a,REARR1403,n/a,n/a,054915003588
Home And Garden,1244352,Focus Foodservice LLC,"Furniture, Storage, Racks and Fixtures",n/a,n/a,stainless steel,188.0,n/a,FGN074SS,n/a,n/a,n/a
Home And Garden,11743303,Ex-Cell,"Cleaning, Sinks, Maintenance Equipment and Trash Disposal",43.2,43.2,plastic,n/a,Black,EXCLB1718,n/a,n/a,090406004481
Home And Garden,676107,Carlisle,"Carts, Dollies and Transportation",n/a,n/a,aluminum,n/a,n/a,DL182623,n/a,n/a,n/a
Home And Garden,1494087,Focus Foodservice LLC,"Furniture, Storage, Racks and Fixtures",91.4,61.0,aluminum,n/a,n/a,FMADR3624,n/a,n/a,n/a
Home And Garden,1087495,Cambro,"Furniture, Storage, Racks and Fixtures",n/a,n/a,n/a,n/a,n/a,EMSCP000,n/a,n/a,n/a
Home And Garden,1007088,Wedgwood,Tableware,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Home And Garden,13566272,General Supply,"Cleaning, Sinks, Maintenance Equipment and Trash Disposal",8.4,n/a,tissue,n/a,White,GEN9JUMBO,n/a,n/a,749507998556
Home And Garden,1230182,Advance Tabco,"Cleaning, Sinks, Maintenance Equipment and Trash Disposal",45.7,61.0,stainless steel,n/a,n/a,1824A-14A,n/a,n/a,n/a
Home And Garden,6100574,GE Monogram,"Food and Beverage Storage, Dispensers, Serving, Display and Refrigeration",91.4,n/a,n/a,n/a,n/a,ZICS360NXRH,n/a,n/a,n/a
Home And Garden,1503592,Beverage Air,"Food and Beverage Storage, Dispensers, Serving, Display and Refrigeration",121.9,n/a,stainless steel,86.4,Black,BB48Y-1-B-PT,n/a,115V,n/a
Home And Garden,1305631,Rubbermaid,"Cleaning, Sinks, Maintenance Equipment and Trash Disposal",48.3,48.3,metal,76.2,n/a,FGQST40SWPL,n/a,n/a,n/a
Home And Garden,382889,AccuTemp,Food and Drink Preparation and Cooking Equipment,118.1,59.7,stainless steel,n/a,n/a,EGD4803B4800-00,electric,480V,n/a
