category,cluster_id,Product Type,Gender,Metal Type,Brand,Model Number
Jewelry,7963275,Rings/Bands,Ladies,n/a,ArtCarved,31-V412ECW-E
Jewelry,5744819,Rings/Bands,Ladies,18k yellow gold,Tacori,HT2626PR75Y
Jewelry,5696391,Rings/Bands,Gents,"14k white gold, 14k yellow gold",ArtCarved,11-WV4309-G
Jewelry,4432984,Rings/Bands,n/a,n/a,ArtCarved,31-V692W-L
Jewelry,14199859,Rings/Bands,Gents,14k white gold,ArtCarved,11-WV7322W-G
Jewelry,6874289,Rings/Bands,Gents,14k white gold,ArtCarved,11-WV4503W-G
Jewelry,5147043,Rings/Bands,Gents,14k white gold,CrownRing,WB-005R6W
Jewelry,10487076,Rings/Bands,Gents,platinum,Benchmark,CF526128PT
Jewelry,3073522,Rings/Bands,Gents,titanium,Benchmark,TICF68100BKT
Jewelry,10572945,Rings/Bands,Gents,18k white gold,Benchmark,EUCF16518KW
Jewelry,5216590,Rings/Bands,Gents,14k yellow gold,CrownRing,WB-009R7Y
Jewelry,9708763,Rings/Bands,Gents,18k white gold,Benchmark,CF6641618KW
Jewelry,8424559,Rings/Bands,Gents,14k yellow gold,Benchmark,EUCF17514KY
Jewelry,9614223,Rings/Bands,Gents,14k white gold,Benchmark,CF71752514KW
Jewelry,2407804,Rings/Bands,Ladies,14k yellow gold,Benchmark,EUCF13514KY
Jewelry,6946130,Rings/Bands,Ladies,18k yellow gold,Benchmark,LCF14018KY
Jewelry,5773031,Rings/Bands,Gents,18k white gold,Benchmark,CF6835218KW
Jewelry,12688335,Rings/Bands,Gents,18k white gold,Benchmark,EUCF15518KW
Jewelry,15267408,Rings/Bands,Gents,platinum,Benchmark,CF66426PT
Jewelry,14150767,Rings/Bands,Gents,18k white gold,Benchmark,RECF760218KW
Jewelry,4762631,Rings/Bands,Gents,18k white gold,Benchmark,LCF15018KW
Jewelry,8424552,Rings/Bands,Gents,14k rose gold,Benchmark,EUCF17514KR
Jewelry,13775918,Rings/Bands,Gents,10k yellow gold,Benchmark,RECF760110KY
Jewelry,2406997,Rings/Bands,Gents,platinum,Benchmark,RECF846358PT
Jewelry,5126405,Rings/Bands,Gents,18k white gold,Benchmark,CF6642018KW
Jewelry,12993588,Necklace/Chain,Ladies,14k white gold,Beny Sofer,SN12-155B
