record_id,category,cluster_id,Capacity,Product Type,Length,Page Yield,Retail UPC,Manufacturer Stock Number,Sheet Perforation,Material,Width,Height,Depth,Pack Quantity,Brand,Closure,Paper Weight,Color(s),Mounting,Binding,source,title,description
4656867,Office Products,317805,n/a,n/a,n/a,24000,n/a,C930H2YG,n/a,n/a,n/a,n/a,n/a,n/a,Lexmark,n/a,n/a,Yellow,n/a,n/a,tonerprice.com,"""C930H2YG Genuine Lexmark High-Yield Toner Cartridge, 24000 Page-Yield, Yellow"" Page-Yield Cartridge","""Genuine Lexmark yellow toner for C935, C935dn, C935dtn, C935hdn. Prints an amazing array of shades and solids, creating life-like images. Delivers significant savings to your bottom line. Comprehensively checked for quality.""@en "
11550905,Office Products,317805,n/a,n/a,n/a,n/a,n/a,C930H2YG,n/a,n/a,n/a,n/a,n/a,n/a,Lexmark,n/a,n/a,Yellow,n/a,n/a,www.tonermax-pacific.com,"""LEXMARK C935 TONER CARTRIDGE YELLOW HY"" "" LEXMARK HY / C930H2YG",
11419652,Office Products,317805,n/a,n/a,n/a,n/a,n/a,C930H2YG,n/a,n/a,n/a,n/a,n/a,n/a,Lexmark,n/a,n/a,Yellow,n/a,n/a,www.tonermax-apo-fpo.com,"""LEXMARK C935 TONER CARTRIDGE YELLOW HY"" "" LEXMARK HY / C930H2YG",
10640219,Office Products,317805,n/a,n/a,n/a,n/a,n/a,C930H2YG,n/a,n/a,n/a,n/a,n/a,n/a,Lexmark,n/a,n/a,Yellow,n/a,n/a,www.tonermax-puerto-rico.com,"""Compatible for LEXMARK C935 TONER CARTRIDGE YELLOW HY"" "" COMPATIBLE FOR HY / C930H2YG",
7396597,Office Products,317805,n/a,n/a,n/a,n/a,n/a,C930H2YG,n/a,n/a,n/a,n/a,n/a,n/a,Lexmark,n/a,n/a,Yellow,n/a,n/a,www.cdw.com,"""Lexmark - High Yield yellow original toner cartridge LCCP"" "" Lexmark LCCP C930H2YG Laser Printer Toners CDW.com","""Lexmark delivers high-powered solutions, services and supplies that meet or exceed the needs of customers ranging from the small office to the large corporate enterprise. Years of printing industry leadership, coupled with a close relationship with its customers, allow Lexmark to develop high-quality, easy-to-use business products and services."" "
9590332,Office Products,317805,n/a,n/a,n/a,24K,n/a,C930H2YG,n/a,n/a,n/a,n/a,n/a,n/a,Lexmark,n/a,n/a,Yellow,n/a,n/a,www.valueshop.co.uk,"""Genuine Lexmark High Capacity Yellow Toner Cartridge, 24K Yield (C930H2YG)"" ""Lexmark C930H2YG Cartridge - Printer ValueShop""","""




                    Genuine high capacity Lexmark yellow toner cartridge, part number C930H2YG for 5 Lexmark C Series printers.
                "" "
5964601,Office Products,317805,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Lexmark,n/a,n/a,n/a,n/a,n/a,www.pcnation.com,""" Lexmark Original Toner Cartridge""",
11711168,Office Products,317805,n/a,n/a,n/a,n/a,n/a,C930H2YG,n/a,n/a,n/a,n/a,n/a,n/a,Lexmark,n/a,n/a,Yellow,n/a,n/a,www.extramiletoner.com,"""Compatible for LEXMARK C935 TONER CARTRIDGE YELLOW HY"" "" COMPATIBLE FOR HY / C930H2YG",
7136919,Office Products,317805,n/a,n/a,n/a,n/a,n/a,C930H2YG,n/a,n/a,n/a,n/a,n/a,n/a,Lexmark,n/a,n/a,Yellow,n/a,n/a,www.tonermax-hawaii.com,"""Compatible for LEXMARK C935 TONER CARTRIDGE YELLOW HY"" "" COMPATIBLE FOR HY / C930H2YG",
4038426,Office Products,317805,"24,000 page yield",n/a,n/a,"24,000",n/a,C930H2YG,n/a,n/a,n/a,n/a,n/a,n/a,Lexmark,n/a,n/a,Yellow,n/a,n/a,www.inktechnologies.com,"""C930H2YG Toner Cartridge - Lexmark Genuine OEM (Yellow)"" ""C930H2CG (Cyan)""","""
                                

                                Genuine OEM Lexmark Toner Cartridge, Yellow, High Capacity 24,000 page yield. Lexmark part number: C930H2YG. Color Laser Toner Cartridge compatible with Lexmark C935.
                            "" "
