category,cluster_id,Product Type,Brand,Color(s),Manufacturer Stock Number,Pack Quantity,Material,Width,Height,Length,Depth,Paper Weight,Retail UPC
Office Products,8510048,Board and Presentation Materials,Quartet,White,QRT210TEA,n/a,n/a,68.6,86.4,n/a,n/a,n/a,034138594872
Office Products,15762878,"Shipping and Packaging, Envelopes",Avery,No Color/Transparent,AVE74806,10 per pack,vinyl,10.2,15.2,n/a,n/a,n/a,077711748064
Office Products,1793425,Miscellaneous,Rolodex,Black,ROL66700,250 per guides,metal,2.5,7.6,n/a,n/a,n/a,071912667001
Office Products,5928579,"Folders, Dividers, Indexing, Flags, Labels, Cases, Holders, Bindings",Samsill,Black,SAM81270,n/a,leather,5.1,7.6,n/a,n/a,n/a,050362812704
Office Products,14990897,Paper Products,Pacon,White,PAC74520,25 Sheets,paper,61.0,40.6,n/a,n/a,n/a,029444745209
Office Products,944175,"Printing, Copying, Laminating",Canon,Black,0279B003AA,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Office Products,2512340,"Shipping and Packaging, Envelopes",Quality Park,Brown,QUA42353,25 per box,kraft,30.5,45.7,n/a,n/a,12.7,085227423535
Office Products,419186,"Printing, Copying, Laminating",Lexmark,Red,C930H2MG,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Office Products,10228381,"Printing, Copying, Laminating",Xerox,Assorted/Others,XER108R00691,n/a,n/a,n/a,n/a,n/a,n/a,n/a,095205219487
Office Products,4634126,Stationery and Desk Accessories,3M Scotch,No Color/Transparent,MMM810K24,24 per pack,n/a,1.9,n/a,2540.0,n/a,n/a,051131980488
Office Products,4577161,"Printing, Copying, Laminating",Brother,n/a,BRTDR620,1 per pack,n/a,n/a,n/a,n/a,n/a,n/a,012502622291
Office Products,360744,"Printing, Copying, Laminating",Lexmark,Black,T650A11A,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Office Products,6541752,Paper Products,National,White,RED31384,120 sheets,paper,20.3,27.9,n/a,n/a,n/a,073333313840
Office Products,6982801,Paper Products,National,Black,RED43460,80 sheets,paper,17.8,25.4,n/a,n/a,n/a,073333434606
Office Products,905302,Board and Presentation Materials,Universal,White,UNV35603,2 per pack,paper,63.5,76.2,n/a,2.2,9.1,087547356036
Office Products,7632911,"Printing, Copying, Laminating",Samsung,Black,SASSCXD4725,n/a,n/a,n/a,n/a,n/a,n/a,n/a,635753614114
Office Products,15950619,"Printing, Copying, Laminating",Canon,Yellow,CNM2801B003AA,1 each,n/a,n/a,n/a,n/a,n/a,n/a,013803112931
Office Products,7374012,Paper Products,Geographics,White,GEO39219,100 per pack,paper,20.3,27.9,n/a,n/a,10.9,022473392192
Office Products,1989228,Paper Products,Mead,White,MEA15200,200 sheets,paper,20.3,25.4,n/a,n/a,6.8,043100152002
Office Products,14200560,Paper Products,Domtar,White,DMR85311,500 per ream,paper,27.9,43.2,n/a,n/a,12.7,723382853162
Office Products,10229203,"Printing, Copying, Laminating",Xerox,Yellow,108R00662,3 per box,solid ink,n/a,n/a,n/a,n/a,n/a,095205048254
Office Products,11460511,Paper Products,Universal,Green,UNV76620,60 sheets,plastic,15.2,22.9,n/a,n/a,n/a,087547766200
Office Products,5991368,"Printing, Copying, Laminating",Innovera,Black,IVRB435AM,1 each,"90% post-consumer recycled content, 100% total recycled content",n/a,n/a,n/a,n/a,n/a,686024123460
Office Products,317805,"Printing, Copying, Laminating",Lexmark,Yellow,C930H2YG,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Office Products,4037828,"Folders, Dividers, Indexing, Flags, Labels, Cases, Holders, Bindings",Cardinal,White,CRD60213,1 per box,mylar,21.6,27.9,n/a,n/a,n/a,083086602139
Office Products,3190285,Paper Products,Mead,White,MEA43082,80 sheets,cardboard,15.2,22.9,n/a,n/a,n/a,n/a
Office Products,9077582,"Folders, Dividers, Indexing, Flags, Labels, Cases, Holders, Bindings",Universal,Beige,UNV15122,100 per box,11 pt. manila stock,n/a,n/a,n/a,n/a,n/a,087547151228
Office Products,6075793,Office Furniture and Ergonomic Products,Alera,Brown,ALEVA532822MC,n/a,medium cherry,40.6,71.1,n/a,55.9,n/a,042167300302
Office Products,2836723,Writing/Erasing Instruments and Accessories,Pilot,Blue,PIL31032,2,rubber,n/a,n/a,n/a,n/a,n/a,072838310323
Office Products,12616450,"Time, Planning and Organization",AT-A-GLANCE,Black,AAGG21000,n/a,paper,10.2,20.3,n/a,n/a,n/a,038576010277
Office Products,12912603,"Folders, Dividers, Indexing, Flags, Labels, Cases, Holders, Bindings",Avery,White,AVE01409,25 per pack,20% post-consumer recycled content and 20% total recycled content,20.3,27.9,n/a,n/a,n/a,072782014094
Office Products,4463687,"Folders, Dividers, Indexing, Flags, Labels, Cases, Holders, Bindings",Cardinal,Assorted/Others,CRD70518,1 Set,100 percent post-consumer recycled content,n/a,n/a,n/a,n/a,n/a,083086705182
Office Products,2889151,Writing/Erasing Instruments and Accessories,Pilot,Blue,PIL36101,n/a,n/a,n/a,n/a,n/a,n/a,n/a,072838361011
Office Products,10181284,Board and Presentation Materials,Quartet,Black,QRT06355BK,n/a,foam,43.2,58.4,n/a,n/a,n/a,034138063552
Office Products,2181903,"Shipping and Packaging, Envelopes",Quality Park,Brown,QUA37895,100 per box,kraft,25.4,30.5,n/a,n/a,12.7,085227378958
Office Products,9881126,"Shipping and Packaging, Envelopes",Universal,Brown,UNV35262,100 per box,kraft,17.8,25.4,n/a,n/a,12.7,087547352625
Office Products,5115573,Writing/Erasing Instruments and Accessories,BIC,Blue,BICWOELP11,1,film-based,0.5,n/a,599.4,n/a,n/a,070330507432
Office Products,10668672,"Folders, Dividers, Indexing, Flags, Labels, Cases, Holders, Bindings",Universal,White,UNV56604,25 per box,leather,20.3,27.9,n/a,n/a,n/a,087547566046
Office Products,8238423,Miscellaneous,Ideastream,Black,IDEVZ01002,1 each,rubber,25.4,12.7,n/a,22.2,n/a,826030010020
Office Products,4920621,Office Furniture and Ergonomic Products,Fellowes,Black,FEL8031701,n/a,plastic,37.6,6.3,n/a,27.8,n/a,043859471188
Office Products,2981582,Writing/Erasing Instruments and Accessories,Sanford,Blue,SAN61232,1 per pack,n/a,n/a,n/a,n/a,n/a,n/a,070530612325
Office Products,8124653,Board and Presentation Materials,Quartet,Black,QRTMP1202Q,n/a,plastic,n/a,n/a,n/a,n/a,n/a,718575120206
