cleanse,organic,ingredient,anti-allergy,color,source_region,channel,pattern,design_style,product_special_size,series,occasion,other_applied_container,package_function,special_package_materials,award_title,title,description
,,,,,,,,Double Old Fashioned Glass,,New York Series,,,,,,"""Stolzle S3500015 New York Series 11-oz Double Old Fashioned Glass"" Glass ""","""Double Old Fashioned Glass, 11 oz., Stolzle, New York Series""@en "
,,,,,,,,Double Old Fashioned Glass,,New York Series,,,,,,"""Anchor Hocking S3500015 Glass Old Fashioned"" "" Anchor Fashioned | Rocks Glass""","""Double Old Fashioned Glass, 11 oz., Stolzle, New York Series (priced per case, packed 6 each per case)""@en "
,,,,,,,,Double Old Fashioned Glass,,Experience,,,,,,"""Stolzle S3510016 Experience 11.5-oz Double Old Fashioned Glass"" Glass ""","""Double Old Fashioned Glass, 11-1/2 oz., Stolzle, Experience""@en "
,,,,,,,,Double Old Fashioned Glass,,Experience,,,,,,"""Anchor Hocking S3510016 Glass Old Fashioned"" "" Anchor Fashioned | Rocks Glass""","""Double Old Fashioned Glass, 11-1/2 oz., Stolzle, Experience (priced per case, packed 6 each per case)""@en "
,,,,,,,,Double Old Fashioned Glass,,New York Series,,,,,,"""Stolzle S3500016 Large New York Series 14-3/4-oz Double Old Fashioned Glass"" Glass ""","""Double Old Fashioned Glass, 14-3/4 oz., large, Stolzle, New York Series""@en "
,,,,,,,,Double Old Fashioned Glass,,New York Series,,,,,,"""Anchor Hocking S3500016 Glass Old Fashioned"" "" Anchor Fashioned | Rocks Glass""","""Double Old Fashioned Glass, 14-3/4 oz., large, Stolzle, New York Series (priced per case, packed 6 each per case)""@en "
,,,,,US,,,,Mini,,,,,,,""" Nabisco Mini Oreo Bite Size Snacks ""-US ""Nabisco - CDB15923 | OfficeSupply.com""-US",
,,,,,,,,,Mini,,on the go,purses or backpacks,,,,"""Oreo Minis - Single Serve, 8 oz Snak Sak"" Serve by Nabisco® CDB15923 OnTimeSupplies.com""","""Take a mini-break with mini-chocolate sandwich cookies. Your favorite chocolate treats, with delicious vanilla-cream filling are now bite-sized. An excellent choice for purses or backpacks. Mini-chocolate sandwich cookies are a perfect after school snack, or a yummy treat on-the-go. 
"" "
,,,,,,,,,Mini,,on the go,purses or backpacks,,,,"""Nabisco Oreo Minis - Single Serve"" "" Nabisco Serve 8 oz Snak Sak CDB15923 ReStockIt ""","""Take a mini-break with mini-chocolate sandwich cookies. Your favorite chocolate treats, with delicious vanilla-cream filling are now bite-sized. An excellent choice for purses or backpacks. Mini-chocolate sandwich cookies are a perfect after school snack, or a yummy treat on-the-go. Food Type: Cookie; Flavor: Oreo®; Capacity (Weight): 8.0 oz; Packing Type: Bag. UPC: 044000015923
""@en "
,,,,,CA,,Lismore Candy,,,,,,,,,"""Lismore Candy 5in Bud Vase"" Vase - Waterford | CA""","""A sweet trio of Classic Lismore Bud Vases present petite treatments of three traditional silhouettes ideal for the darling buds any time.""@en "
,,,,,US,,Lismore Candy,,,,,,,,,"""Lismore Candy 5in Bud Vase"" Vase - Waterford | US""","""A sweet trio of Classic Lismore Bud Vases present petite treatments of three traditional silhouettes ideal for the darling buds any time.""@en "
,,Low sodium,Gluten Free,,,,,,Mini,,,,,,Smart Snacks,"""Gluten Free Double Chocolate Chip Mini Cookies, 0.95 oz Pack, 30/Carton"" Cookies by Homefree® HMF01948 - OnTimeSupplies.com""","""Don't settle when it comes to cookies—select the ones that were recommended by the Good Housekeeping Research Institute as the ""Best Gluten Free Cookies"" nationally! Free of the eight most common food allergens, including nuts and dairy. Gently sweetened and gluten free, with two grams of fiber. Certified a good source of whole grain: At least 9 grams per bag! Low sodium cookies are made in dedicated bakery free of peanuts, tree nuts, eggs, dairy, wheat and gluten, with carefully sourced and allergen-tested ingredients. These bite-sized crunchy double chocolate chip mini cookies are so healthy that they are on the ""Smart Snacks"" list of the USDA and Alliance for a Healthier Generation. 
"" "
,,,Gluten Free,,US,,,,Mini,,,,,,,""" Homefree Gluten Free Mini Cookies ""-US ""Homefree - HMF01948 | OfficeSupply.com""-US",
,,Low sodium,Gluten Free,,,,,,Mini,,,,,,Smart Snacks,"""Homefree Gluten Free Double Chocolate Chip Mini Cookies"" "" Homefree Cookies 0.95 oz Pack 30/Carton - HMF01948 ReStockIt ""","""Don't settle when it comes to cookies—select the ones that were recommended by the Good Housekeeping Research Institute as the ""Best Gluten Free Cookies"" nationally! Free of the eight most common food allergens, including nuts and dairy. Gently sweetened and gluten free, with two grams of fiber. Certified a good source of whole grain: At least 9 grams per bag! Low sodium cookies are made in dedicated bakery free of peanuts, tree nuts, eggs, dairy, wheat and gluten, with carefully sourced and allergen-tested ingredients. These bite-sized crunchy double chocolate chip mini cookies are so healthy that they are on the ""Smart Snacks"" list of the USDA and Alliance for a Healthier Generation. Food Type: Cookies; Flavor: Double Chocolate Chip; Capacity (Weight): 0.95 oz; Packing Type: Pack. Homefree is a certified B Corporation for strong commitment to social and environmental responsibility.
""@en "
,,,Gluten Free,,US,,,,Mini,,,,,,,""" Homefree Gluten Free Mini Cookies ""-US ""Homefree - HMF01873 | OfficeSupply.com""-US",
,,low sodium,Gluten Free,,,,,,Mini,,,,,,,"""Homefree Gluten Free Chocolate Chip Mini Cookies"" "" Homefree Cookies 1.1 oz Pack 30/Carton - HMF01873 ReStockIt ""","""Take a bite out of our most popular cookie—Homefree's tasty, healthy chocolate chip cookies are a great addition to snacktime. Certified gluten free, vegan, kosher pareve and non-GMO verified. Certified a good source of whole grain: At least 9 grams per bag! Homefree® cookies are made with allergen-tested and carefully sourced ingredients in Homefree's dedicated bakery free of peanuts, tree nuts, eggs, dairy, and wheat, so that everyone can enjoy a treat. Cookies contain nothing artificial, contain no trans fat, soy, rice or cholesterol and are low sodium. Featured on the Today show as a recommended delicious, healthy snack. Food Type: Cookies; Flavor: Chocolate Chip; Capacity (Weight): 1.1 oz; Packing Type: Pack. Homefree is a certified B Corporation for strong commitment to social and environmental responsibility.
""@en "
,,low sodium,Gluten Free,,,,,,Mini,,,,,,,"""Gluten Free Chocolate Chip Mini Cookies, 1.1 oz Pack, 30/Carton"" Cookies by Homefree® HMF01873 - OnTimeSupplies.com""","""Take a bite out of our most popular cookie - Homefree's tasty, healthy chocolate chip cookies are a great addition to snacktime. Certified gluten free, vegan, kosher pareve and Non-GMO verified. Certified a good source of whole grain: At least 9 grams per bag! Homefree® cookies are made with allergen-tested and carefully sourced ingredients in Homefree’s dedicated bakery free of peanuts, tree nuts, eggs, dairy, and wheat, so that everyone can enjoy a treat. Cookies contain nothing artificial, contain no trans fat, soy, rice or cholesterol and are low sodium. Featured on the Today show as a recommended delicious, healthy snack.				
							"" "
,certified organic,low glycemic,Gluten Free,,,,,,Mini,,,,,,,"""Homefree Gluten Free Mini Cookies Variety Pack"" 30/Carton - HMF01305 ReStockIt "" "" Homefree Pack 1.1 oz/0.95 oz/1.1 oz Packs","""Everyone can join in snack time with this delicious variety pack of gluten-free, whole grain mini cookies. Great for special dietary needs; these cookies are also low glycemic and nut free. Multiple flavors for multiple tastes: single serve bags of crunchy cookies in Chocolate Chip, Double Chocolate Chip, and Vanilla. All Homefree® cookies are free of the eight most common food allergens (except soy lecithin in the Chocolate Chip Mini Cookies) and are certified as a good source of whole grain. The vanilla mini cookies are low glycemic and certified organic (70% organic ingredients). Food Type: Cookies; Flavor: Chocolate Chip; Double Chocolate Chip; Vanilla; Capacity (Weight): 2 lb. Net Weight; 10/1.1 oz, 10/0.95 oz, 10/1.1 oz; Packing Type: Pack. Homefree is a certified B Corporation for strong commitment to social and environmental responsibility.
""@en "
,certified organic,low glycemic,Gluten Free,,,,,,Mini,,,,,,,"""Gluten Free Mini Cookies Variety Pack, 1.1 oz/0.95 oz/1.1 oz Packs, 30/Carton"" Pack by Homefree® HMF01305 - OnTimeSupplies.com""","""Everyone can join in snack time with this delicious variety pack of gluten-free, whole grain mini cookies. Great for special dietary needs; these cookies are also low glycemic and nut free. Multiple flavors for multiple tastes: single serve bags of crunchy cookies in Chocolate Chip, Double Chocolate Chip, and Vanilla. All Homefree® cookies are free of the eight most common food allergens (except soy lecithin in the Chocolate Chip Mini Cookies) and are certified as a good source of whole grain. The vanilla mini cookies are low glycemic and certified organic (70% organic ingredients). 
"" "
,,,,,US,,,,,PerfecTouch,,,,,,""" Dixie PerfecTouch 16 oz Paper Coffee Cups ""-US ""Dixie | OfficeSupply.com""-US",
,,,,,,,,Coffee Dreams Design,,,Hot Cups,,insulation,Contains no polystyrene foam,,"""Hot Cups, Paper, 16oz, Coffee Dreams Design, 50/Pack"" Cups by Dixie® DXE5356CD - OnTimeSupplies.com""","""Patented paper process provides excellent insulation and helps reduce the need for costly double-cupping and beverage sleeves. Cup design provides a comfortable grip. Contains no polystyrene foam.				
							"" "
,,,,,,,,,,Georgia Pacific,Hot Cups,,insulation,Contains no polystyrene foam,2002 Best of the Best,"""Georgia Pacific Dixie 16 Oz Hot Paper Cups"" Coffee Design Pack of 50 - DXE5356CD ReStockIt "" "" Georgia Cups","""Dixie® PerfecTouch® hot cups are the perfect insulated paper cups. You and your customers will love it's comfortable, secure feel; non-slip hold & upscale graphics. Patented paper process insulates better than costly double-cupping. Contains no polystyrene foam. Dixie® PerfecTouch® Hot Cups Product Features:First insulated paper cup to eliminate double cupping and the need for expensive beverage sleevesPreferred over other paper cups by 82% of consumers (*Source: Peter Honig Associates, an independent research firm.)Comfortable, sturdy, non-slip feelPatented paper process provides unique insulation without altering beverage flavorFoodservice & Packaging Institute’s “2002 Best of the Best""Can be processed successfully through commercial scale compostingALTERNATE ITEM #: GEP5356CD, 540421, 478407, 20923431, B002761ZL8UPC: 078731987204INNER PACKAGING: 50 Cups Per Pack.
""@en "
,,,,,US,,,,,PerfecTouch,,,,,,"""Dixie PerfecTouch 16 oz Paper Coffee Cups""-US ""Shop for Cups & Mugs Beverage Supplies and More | OfficeSupply.com""-US",
,,,,,,,,,,,,,,,,""" Café Bustelo Ground Coffee (5/8 lb) ""-US ""Café | OfficeSupply.com""-US",
,,,,,,,,,,,, No fancy equipment is needed,,,,"""Espresso, 10 oz"" ""Espresso by Café Bustelo FOL00050 - OnTimeSupplies.com""","""Pure, flavorful espresso ground coffee. Café Bustelo's bold blend is roasted and ground from the finest coffees in the world. No fancy equipment is needed. Just brew your way and enjoy it your way. 
"" "
,,,,,,,,,,,, No fancy equipment is needed,,,,"""Cafe Bustelo Café Bustelo"" 10 oz - FOL00050 ReStockIt "" "" Cafe Espresso","""Pure, flavorful espresso ground coffee. Café Bustelo's bold blend is roasted and ground from the finest coffees in the world. No fancy equipment is needed. Just brew your way and enjoy it your way.  Beverage Type: Coffee; Flavor: Espresso; Packing Type: C UPC: 074471000500
""@en "
,,100% high-grown Arabica coffee,,,,,,,,Love at First Sip (Medium Roast),,,,foil wrapped,,"""Coffee Pods, Love at First Sip (Medium Roast), 18 Pods/Box"" Pods by Melitta® MLA75415 - OnTimeSupplies.com""","""Individually foil wrapped and nitrogen flushed for freshness. Each coffee pod is made with only 100% high-grown Arabica coffee. A quick and easy way to have coffee. 
"" "
,,,,,US,,,,,,,,,,,""" Melitta Single Cup Coffee Pods ""-US ""Melitta - MLA75415 | OfficeSupply.com""-US",
,,100% high grown Arabica coffee,,,,,,,,Love at First Sip,,,,foil wrapped,,"""Melitta One:One 75415 Medium Roast Coffee Pods"" ""Love at First Sip"" - MLA75415 ReStockIt "" "" Melitta Pods","""One:One™ Coffee and Tea PodsIndividually foil wrapped and nitrogen flushed for the ultimate in freshness. 18 pods per box. NOTE: This product cannot be returned.Coffee PodsMade from only 100% high grown Arabica coffee.Medium RoastLove at First SipNot compatible with Keurig machines.ALTERNATE ITEM #: 639413, 802253, 22095705, B001M074MEUPC: 082846801195
""@en "
,,Pure Sugar Cane,,,US,,,,,,,,,,,""" N'Joy Pure Sugar Cane ""-US ""N'Joy - NJO827820 | OfficeSupply.com""-US",
,,Pure Sugar Cane,,,,,,,,, Perfect for high-volume foodservice use,,easy-to-use canister with easy open/easy close pour spout eliminates mess,,,"""Pure Sugar Cane, 22 oz Canisters, 8 per Carton"" Cane by N'Joy NJO827820 - OnTimeSupplies.com""","""100% pure cane sugar is nature's natural sweetener. Perfect for high-volume foodservice use. Convenient, easy-to-use canister with easy open/easy close pour spout eliminates mess. Granulated. 
"" "
,,Pure Sugar Cane,,White,,,,,,,Perfect for high-volume foodservice use,,easy-to-use canister with easy open/easy close pour spout eliminates mess,,,"""N'Joy Pure Sugar Cane"" "" N'Joy Cane 22 oz Canisters 8 per Carton - NJO827820 ReStockIt ""","""100% pure cane sugar is nature's natural sweetener. Perfect for high-volume foodservice use. Convenient, easy-to-use canister with easy open/easy close pour spout eliminates mess. Granulated.  Flavor: Plain; Packing Type: Canister; Premeasured: Yes; Capac COLOR: WhiteUPC: 086631906980
""@en "
,,Pure Sugar Cane,,,US,,,,,,,,,,,"""N'Joy Pure Sugar Cane ""-US ""Value Packs""-US",
,,,,,,,,,,Natural Spring, fits any occasion,your fridge,,,,"""Nestle Natural Spring Water"" 16.9 oz Bottle 40 Bottles/Carton - NLE1039242 ReStockIt "" "" Nestle Water","""Naturally great tasting water fits any occasion. Bottles are perfectly sized for your fridge. Beverage Type: Water; Packing Type: Bottle; Capacity (Volume): 16.9 oz; Quantity: 40 per carton. UPC: 071142817801
""@en "
,,,,,,,,,,Natural Spring, fits any occasion,your fridge,,,,"""Natural Spring Water, 16.9 oz Bottle, 40 Bottles/Carton"" Water by Arrowhead® NLE1039242 - OnTimeSupplies.com""","""Naturally great tasting water fits any occasion. Bottles are perfectly sized for your fridge. 
"" "
,,,,,US,,,,,,,,,,,""" Grandma's Cookies Variety Tray ""-US ""Grandma's - LAY13256 | OfficeSupply.com""-US",
,,,,,,,,,,Frito Lay,Great for snacking on-the-go or topping-off your lunch,,,,,"""Frito Lay Grandma's Cookies Variety Tray 36 Ct"" "" Frito Ct 2.5 oz Packs - LAY13256 ReStockIt ""","""Assortment includes Chocolate Chip, Peanut Butter, Oatmeal Raisin, Chocolate Brownie and Vanilla Crème cookies. Great for snacking on-the-go or topping-off your lunch. Contains 36 individually wrapped 2.5 oz packs.  Food Type: Cookies; Flavor: Chocolate C UPC: 028400225960
""@en "
,,,,,,,,,,,Great for snacking on-the-go or topping-off your lunch,,,,,"""Cookies Variety Tray 36 Ct, 2.5 oz Packs"" Ct by Grandma's® LAY13256 - OnTimeSupplies.com""","""Assortment includes Chocolate Chip, Peanut Butter, Oatmeal Raisin, Chocolate Brownie and Vanilla Crème cookies. Great for snacking on-the-go or topping-off your lunch. Contains 36 individually wrapped 2.5 oz packs. 
"" "
,,,,,,,,,,,on the go,,,,,"""Cocoa Roasted Almonds, 5 oz Pack, 6/Carton"" Almonds by Emerald® DFD86364 - OnTimeSupplies.com""","""A natural source of protein, vitamins and minerals that give you a boost of energy. Perfect size to take with you on the go. 
"" "
,,,,,,,,,,,on the go,,,,,"""Emerald Cocoa Roasted Almonds"" 6/Carton - DFD86364 ReStockIt "" "" Emerald Almonds 5 oz Pack","""A natural source of protein, vitamins and minerals that give you a boost of energy. Perfect size to take with you on the go. Food Type: Nuts; Flavor: Cocoa Roasted Almonds; Capacity (Weight): 5 oz; Packing Type: Bag. UPC: 010300863649
""@en "
Special cleaning cycle,,,,,,Outlet Direct,,,,Programmable Coffeemaker,,,,,,"""Mr. Coffee 12-Cup Programmable Coffeemaker with Water Filtration, SJX33GT"" ""Coffee Machines | Outlet Direct""","""Let Mr. Coffee Make Your Morning CupIts good looks are only surpassed by its great performance. This coffeemaker automatically detects a glass carafe or thermal carafe and optimizes your brew for maximum flavor. The thermal carafe is sold separately.Mr. Coffee 12-Cup Programmable Coffeemaker:Recognized as one of the best products of the year in a leading consumer research magazineRemovable filter basket lifts out for fast and easy filling and cleaningBrewing Pause 'n Serve lets you pour a cup of coffee while the coffeemaker is still brewingDimensions: Measures 14.41 in. x 11.06 in. x 9.09 in.A Closer Look: 2-hour auto shut-off keeps your coffee hot for two hours and then automatically shuts off.Take Care: Special cleaning cycle makes cleaning your coffeemaker quick and easy."" "
,,,,,,Outlet Direct,,,,Programmable Coffeemaker,,,,,,"""Mr. Coffee BVMC-SJX33GT 12-Cup Programmable Coffeemaker and Mr. GTF2-1 Basket-Style Gold Tone Permanent Filter Bundle"" ""Coffee Makers - Page 381 | Outlet Direct""","""Null"" "
Special cleaning cycle,,,,,,Outlet Direct,,,,Programmable Coffeemaker,,,,,,""" Mr. Coffee 12-Cup Programmable Coffeemaker with Water Filtration, SJX33GT ""Mr. Filtration | Outlet Direct""","""Let Mr. Coffee Make Your Morning CupIts good looks are only surpassed by its great performance. This coffeemaker automatically detects a glass carafe or thermal carafe and optimizes your brew for maximum flavor. The thermal carafe is sold separately.Mr. Coffee 12-Cup Programmable Coffeemaker:Recognized as one of the best products of the year in a leading consumer research magazineRemovable filter basket lifts out for fast and easy filling and cleaningBrewing Pause 'n Serve lets you pour a cup of coffee while the coffeemaker is still brewingDimensions: Measures 14.41 in. x 11.06 in. x 9.09 in.A Closer Look: 2-hour auto shut-off keeps your coffee hot for two hours and then automatically shuts off.Take Care: Special cleaning cycle makes cleaning your coffeemaker quick and easy. "" "
,,,,,,,,,,Programmable Coffeemaker,,,,,,"""Mr. Coffee 12-Cup Programmable Coffeemaker""",
