Extracted Attribute,Best Match,Similarity,Category
Additional Accolades,,0.25,grocery
Additional Ingredients,,0.4545454545454546,grocery
Allergen Friendly,,0.2941176470588235,grocery
Allergen Information,,0.35,grocery
Alternate Item #,,0.25,grocery
Auto Shut-Off,,0.15384615384615385,grocery
Auto Shut-off,,0.15384615384615385,grocery
Awards/Recognition,,0.38888888888888884,grocery
BPA Free,,0.25,grocery
Bakery Environment,,0.2777777777777778,grocery
Beverage Type,,0.3076923076923077,grocery
Bottle Size (oz),,0.25,grocery
Brand,brand,0.8,grocery
Brewing Features,,0.3125,grocery
Brewing Process,,0.2666666666666667,grocery
Calories per Serving,,0.25,grocery
Capacity,,0.3846153846153846,grocery
Capacity (Volume),,0.28,grocery
Capacity (Weight),,0.3529411764705882,grocery
Carafe Compatibility,,0.25,grocery
Carafe Type,,0.33333333333333337,grocery
Certification,,0.3846153846153846,grocery
Certifications,,0.3571428571428571,grocery
Certifications/Awards,,0.23809523809523814,grocery
Cleaning Cycle,,0.3571428571428571,grocery
Cleaning Features,,0.2941176470588235,grocery
Coffee Bean Origin,,0.2777777777777778,grocery
Coffee Bean Type,,0.25,grocery
Coffee Type,,0.33333333333333337,grocery
Color,color,0.8,grocery
Compatibility,,0.25,grocery
Container Size,,0.30000000000000004,grocery
Container Type,,0.3571428571428571,grocery
Contains,,0.26086956521739135,grocery
Cookie Varieties,,0.3125,grocery
Description Type,,0.3125,grocery
Design,,0.41666666666666663,grocery
Dietary Certification,,0.33333333333333337,grocery
Dietary Restrictions,,0.35,grocery
Dimensions,,0.4,grocery
Dimensions (L x W x H),,0.18181818181818177,grocery
Dimensions (inches),,0.26315789473684215,grocery
Dishwasher Safe,,0.19999999999999996,grocery
Equipment Needed,,0.1875,grocery
Features,,0.375,grocery
Fiber Content,,0.3846153846153846,grocery
Filter Basket,,0.3076923076923077,grocery
Flavor,flavor,0.8333333333333334,grocery
Flavor Profile,,0.3571428571428571,grocery
Flavor/Variant,,0.3571428571428571,grocery
Flavor/Variety,,0.3571428571428571,grocery
Flavors Included,,0.3125,grocery
Food Type,,0.41666666666666663,grocery
Form,,0.33333333333333337,grocery
Glass Type,,0.30000000000000004,grocery
Grain Composition,,0.2941176470588235,grocery
Grip Description,,0.3125,grocery
Ideal For,,0.33333333333333337,grocery
Indicator Light,,0.33333333333333337,grocery
Ingredient Type,,0.6,grocery
Intended Use,,0.25,grocery
Manufacturer's Location,,0.52,grocery
Manufacturer/Brand,,0.48,grocery
Material,,0.375,grocery
Microwave Safe,,0.2142857142857143,grocery
Model Number,,0.25,grocery
Net Weight per Unit,,0.26315789473684215,grocery
Nutritional Highlights,,0.2272727272727273,grocery
Pack Count,,0.3846153846153846,grocery
Pack Quantity,,0.7692307692307692,grocery
Pack Quantity (per Carton),,0.3846153846153846,grocery
Pack Size (Weight),,0.4444444444444444,grocery
Pack Size (oz),,0.2857142857142857,grocery
Package Size,,0.4375,grocery
Package Style,,0.46153846153846156,grocery
Packaging,,0.3846153846153846,grocery
Packaging Details,,0.4117647058823529,grocery
Packaging Feature,,0.47058823529411764,grocery
Packaging Per Unit,,0.33333333333333337,grocery
Packaging Quantity,,0.5555555555555556,grocery
Packaging Type,,0.6428571428571428,grocery
Packing Type,,0.75,grocery
Pause & Serve,,0.23076923076923073,grocery
Plastic Grade,,0.23076923076923073,grocery
Premeasured,,0.2727272727272727,grocery
Preparation Method,,0.2777777777777778,grocery
Preservation Method,,0.26315789473684215,grocery
Pricing Basis,,0.3076923076923077,grocery
Product Code,,0.5833333333333333,grocery
Product Code (Supplier),,0.34782608695652173,grocery
Product Line,,0.5833333333333333,grocery
Product Series,,0.5,grocery
Product Specifications,,0.5,grocery
Product Type,,0.75,grocery
Programmability,,0.2666666666666667,grocery
Programmable,,0.25,grocery
Purity,,0.33333333333333337,grocery
Quantity Per Box,,0.375,grocery
Quantity per Box,,0.375,grocery
Quantity per Carton,,0.3157894736842105,grocery
Quantity per Unit,,0.3529411764705882,grocery
Return Policy,,0.23076923076923073,grocery
Roast Level,,0.2727272727272727,grocery
Safety Features,,0.2666666666666667,grocery
Seller,,0.33333333333333337,grocery
Series,series,0.8333333333333334,grocery
Serving Size per Pouch,,0.2272727272727273,grocery
Serving Type,,0.5,grocery
Size (Volume),,0.23076923076923073,grocery
Size (oz),,0.2727272727272727,grocery
Size Description,,0.3125,grocery
Sodium Level,,0.25,grocery
Special Feature,,0.4,grocery
Special Features,,0.43999999999999995,grocery
Sugar Type,,0.25,grocery
Suitable Containers,,0.4347826086956522,grocery
Supplier Website,,0.30434782608695654,grocery
Supplier/Seller,,0.30434782608695654,grocery
Sustainability Feature,,0.2272727272727273,grocery
Sweetener Description,,0.2857142857142857,grocery
Tea Type,,0.25,grocery
Trans Fat,,0.33333333333333337,grocery
UPC,,0.30000000000000004,grocery
Volume,,0.33333333333333337,grocery
Warmer Included,,0.2666666666666667,grocery
Water Filtration,,0.3125,grocery
Weight,,0.4545454545454546,grocery
Whole Grain Content,,0.26315789473684215,grocery
Additional Accessories,,0.2727272727272727,home
Additional Features,,0.3157894736842105,home
Additional Requirements,,0.21739130434782605,home
Additional_Features,,0.3157894736842105,home
Age Recommendation,,0.33333333333333337,home
Alternate Item Numbers,,0.28,home
Amps,,0.75,home
Antimicrobial Protection,,0.33333333333333337,home
Appearance,,0.30000000000000004,home
Application,,0.5384615384615384,home
Application Type,,0.3125,home
Approved Use,,0.25,home
Assembly,,0.25,home
Assembly Location,,0.4117647058823529,home
Assembly Required,,0.23529411764705888,home
Assembly Requirement,,0.25,home
Audible Alert,,0.3846153846153846,home
BTU Rating,,0.30000000000000004,home
BTU Rating (LP),,0.19999999999999996,home
BTU per Hot Top,,0.1333333333333333,home
Back Guard,,0.19999999999999996,home
Back Material,,0.5384615384615384,home
Back Splash Dimensions,,0.2272727272727273,home
Back Splash Height,,0.33333333333333337,home
Back Style,,0.4,home
Backing,,0.4285714285714286,home
Backing Type,,0.25,home
Backsplash,,0.6,home
Backsplash Height,,0.3529411764705882,home
Backsplash Location,,0.368421052631579,home
Backsplash Style,,0.375,home
Backsplash Width,,0.375,home
Base Bottom,,0.2857142857142857,home
Base Construction,,0.2941176470588235,home
Base Features,,0.3846153846153846,home
Base Shelves,,0.5833333333333333,home
Base Type,,0.33333333333333337,home
Basket Material,,0.4666666666666667,home
Basket Quantity,,0.33333333333333337,home
Bin Depth,,0.4444444444444444,home
Bin Material,,0.5833333333333333,home
Blade Type,,0.33333333333333337,home
Blower Speeds,,0.23076923076923073,home
Body Material,,0.5384615384615384,home
Bowl Depth,,0.4,home
Boxes per Case,,0.2857142857142857,home
Bracing,,0.4285714285714286,home
Brake,,0.4,home
Brake Included,,0.2857142857142857,home
Brand,,0.375,home
Broiler Grid Dimensions (WxH),,0.24137931034482762,home
Built-in Storage Capacity,,0.28,home
Bumpers,,0.4285714285714286,home
Burner Configuration,,0.44999999999999996,home
Burner Count,,0.3076923076923077,home
Burner Rating,,0.3076923076923077,home
Burner Type,,0.3076923076923077,home
Burner/Control Interval,,0.21739130434782605,home
Burner/Hot Top BTU,,0.16666666666666663,home
Burner/Hot Top Size,,0.21052631578947367,home
Burners,,0.3076923076923077,home
Capacity,capacity,0.875,home
Capacity (Gallons),,0.38888888888888884,home
Capacity (Maximum Distributed Load),,0.19999999999999996,home
Capacity (cu. ft.),,0.38888888888888884,home
Capacity per Wheel,,0.38888888888888884,home
Case Pack,,0.33333333333333337,home
Caster Configuration,,0.44999999999999996,home
Caster Size,,0.4545454545454546,home
Caster Size (in.),,0.2941176470588235,home
Caster Type,,0.36363636363636365,home
Casters,,0.4285714285714286,home
Casters with Brakes,,0.3157894736842105,home
Category,,0.375,home
Certification,certification,0.9230769230769231,home
Certifications,certification,0.8571428571428572,home
Chopper Type,,0.33333333333333337,home
Closure Type,,0.41666666666666663,home
Cold Plate Circuits,,0.26315789473684215,home
Cold Plate Material,,0.368421052631579,home
Collection,,0.3846153846153846,home
Color,color,0.8,home
Compartments,,0.33333333333333337,home
Compatibility,,0.3846153846153846,home
Compatibility Note,,0.2777777777777778,home
Compatible With,,0.33333333333333337,home
Compliance,,0.4,home
Component,,0.33333333333333337,home
Components,,0.30000000000000004,home
Components Included,,0.26315789473684215,home
Condenser Type,,0.2857142857142857,home
Condition,,0.3846153846153846,home
Configuration,,0.46153846153846156,home
Construction,,0.3846153846153846,home
Construction Material,,0.33333333333333337,home
Construction Method,,0.26315789473684215,home
Construction Type,,0.3529411764705882,home
Container Material,,0.38888888888888884,home
Container Size,,0.2857142857142857,home
Container Type,,0.2857142857142857,home
Control Features,,0.3125,home
Control Rating,,0.4285714285714286,home
Control Type,,0.25,home
Controls,,0.25,home
Convection Dimensions (WxDxH),,0.24137931034482762,home
Cook Function Features,,0.2727272727272727,home
Cooking Grid,,0.41666666666666663,home
Cooking Stages,,0.3571428571428571,home
Cooking Surface Dimensions,,0.34615384615384615,home
Cool Touch Feature,,0.2777777777777778,home
Cooling Type,,0.5,home
Cord Length,,0.4545454545454546,home
Corner Design,,0.3846153846153846,home
Corner Protection,,0.4117647058823529,home
Counter Top Edge Feature,,0.25,home
Country of Installation for Warranty,,0.19444444444444442,home
Country of Origin,,0.3529411764705882,home
Country of Origin (Inferred),,0.25,home
Craftsmanship,,0.23076923076923073,home
Crossrail Material,,0.38888888888888884,home
Crossrails,,0.23076923076923073,home
Crossrails Location,,0.42105263157894735,home
Crossrails Material,,0.368421052631579,home
Crossrails_Location,,0.42105263157894735,home
Crossrails_Material,,0.368421052631579,home
Cube Size,,0.23076923076923073,home
Current,,0.5,home
Current (Amps),,0.2857142857142857,home
Customization,,0.5384615384615384,home
Daily Ice Production,,0.30000000000000004,home
Daily Ice Production Capacity,,0.27586206896551724,home
Daily Production Capacity,,0.31999999999999995,home
Deck Configuration,,0.4444444444444444,home
Deck Dimensions,,0.33333333333333337,home
Deck Type,,0.33333333333333337,home
Deli Pan Features,,0.3529411764705882,home
Depth,depth,0.8,home
Depth (Front-to-Back),,0.19047619047619047,home
Depth (Overall),,0.2666666666666667,home
Design,,0.33333333333333337,home
Designer,,0.375,home
Designer/Brand,,0.2142857142857143,home
Diameter,diameter,0.875,home
Dimensions,,0.30000000000000004,home
Dimensions (Base),,0.18181818181818177,home
Dimensions (Length x Width),,0.18518518518518523,home
Dimensions (LxWxH),,0.16666666666666663,home
Dimensions (W x D),,0.16666666666666663,home
Dimensions (inches),,0.21052631578947367,home
Dimensions (per deck),,0.19047619047619047,home
Direction,,0.46153846153846156,home
Discount,,0.25,home
Dishwasher Safe,,0.2666666666666667,home
Dispensing Method,,0.2941176470588235,home
Disposer Type,,0.3076923076923077,home
Dolly Type,,0.33333333333333337,home
Door Bin Features,,0.2941176470588235,home
Door Features,,0.3076923076923077,home
Door Features (Non-Refrigerated Top),,0.19444444444444442,home
Door Handle,,0.2727272727272727,home
Door Material,,0.5384615384615384,home
