Attribute,Cluster (Small),Cluster (Large)
temperature range,8,9
brewing features,8,8
size (oz),1,5
surface compatibility,9,0
product_seller,4,4
counter top edge feature,0,7
number of ovens,8,9
leg adjustability,0,7
shop_name,3,4
top material/feature,6,3
sold by,3,4
capacity,3,6
brewing equipment,8,9
crossrails material,6,3
grip type,2,1
part and supplies quality,3,0
reinforcement,3,6
card_quantity,5,4
mounting location,0,7
colour,9,6
cooking grids,8,9
stones_total_weight,1,7
product_description,4,4
genuineness,9,0
hole type,2,1
foodtype,2,1
shelving dimensions,1,5
top type,2,1
pen_function,3,7
post material,6,3
burnertypes,2,1
binding edge,0,7
gas connection,8,9
board_function,0,7
endorsed by,7,0
lignin free,9,0
countertop,0,7
compatible devices,7,0
fsc certified,9,0
appointment style,3,6
casters,3,7
motor power level,8,9
comfort fit,7,0
holder material,6,3
refill option,9,0
cookies flavor,9,0
shipping restrictions,7,0
genuine part number,4,4
ruling type,2,1
gender,3,6
warranty,3,0
trim size,1,5
carafe type,2,1
navigation features,0,7
templates_available_online,7,4
sheet capacity per pocket,5,2
heritage/established,3,6
sheet color,9,7
product model,4,4
shipping carrier,3,4
quantity per container,5,2
handle type,2,1
tube size,1,5
product category,4,4
ideal environments,7,0
deep bin,0,7
dietary information,9,0
transfer-safe,7,0
cover,3,6
applied_target,7,0
supplier,3,4
ignition,8,9
card_rotation,0,7
maximum label/sticker width,1,5
warranty (non-oem),3,0
pocket count per divider,5,2
cube,0,6
provider,3,6
number of support bars,5,2
ice bin dimensions (l x w),1,5
color/finish,9,7
warranty (compatible/remanufactured),9,0
product provider,4,4
stamp type,2,1
retraction mechanism,0,7
fuel type,8,1
sides feature,0,8
height of riser,1,5
cooking stages,8,9
comfort,3,6
closure,3,6
regulator included,8,9
pocket features,7,8
leg materials,6,7
photo-safety,9,0
planning format,3,0
document size compatibility,1,5
customizable,7,0
compatible models,7,4
sheet capacity,5,2
target_age,3,0
mounting options,7,7
product page,4,4
edge design,0,7
insulation,8,9
reinforced_ring_edges,0,7
refrigeration system power (hp),8,9
deck material,6,3
title,3,6
number of burners,8,9
product 1,4,4
wheel dimensions,1,5
extra features,7,8
self-sharpening,9,0
cookie varieties,9,0
insulation material,6,3
fire resistant,9,0
primary use,7,0
lock mechanism,0,7
distributor,3,4
corner protection,0,7
write compatibility,9,0
categories,3,6
icestyle,0,7
product cover,4,4
for classic style page size,1,5
bottle volume,5,5
diamond cut,0,7
circuit type,2,1
top thickness (gauge),1,5
lock,0,6
seller,3,4
recycled material,6,3
additional specification,7,8
glass properties,9,3
device compatibility,7,0
craftsmanship,3,6
quality standards,9,0
grate_design,0,7
rangetype,2,1
bracing,0,7
pre-programmed menu,7,0
box content,0,7
cooking grid,8,9
