Extracted Attribute,Best Match,Similarity,Category
Product Title,,0.5384615384615384,grocery
Product Type,,0.75,grocery
Capacity,,0.3846153846153846,grocery
Brand,brand,0.8,grocery
Series,series,0.8333333333333334,grocery
Product Description,,0.4,grocery
Volume,,0.33333333333333337,grocery
Packaging,,0.3846153846153846,grocery
Pricing,,0.30000000000000004,grocery
Line,,0.2857142857142857,grocery
Product title,,0.6153846153846154,grocery
Variant,,0.4285714285714286,grocery
Type,,0.25,grocery
Model,,0.2857142857142857,grocery
Glass Type,,0.30000000000000004,grocery
Size,,0.2727272727272727,grocery
Product Series,,0.5,grocery
Manufacture,,0.4,grocery
Pricing Type,,0.5,grocery
Packing,,0.5,grocery
Product_title,,0.6923076923076923,grocery
Product_code,,0.6666666666666667,grocery
Product_type,product_type,0.9166666666666666,grocery
Flavor,flavor,0.8333333333333334,grocery
Serve,,0.5,grocery
ProductTitle,,0.5833333333333333,grocery
Description,,0.36363636363636365,grocery
FoodType,,0.41666666666666663,grocery
CapacityWeight,,0.3571428571428571,grocery
PackingType,,0.75,grocery
UPC,,0.30000000000000004,grocery
Quantity,,0.5384615384615384,grocery
Design,,0.41666666666666663,grocery
Best For,,0.25,grocery
Product_Title,,0.6153846153846154,grocery
Product_description,,0.44999999999999996,grocery
Product code,,0.5833333333333333,grocery
Weight,,0.4545454545454546,grocery
Recommended by,,0.2142857142857143,grocery
Free of,,0.3076923076923077,grocery
Sweetened,,0.2222222222222222,grocery
Gluten Free,,0.2727272727272727,grocery
Fiber content,,0.3846153846153846,grocery
Certified,,0.4444444444444444,grocery
Whole grain content,,0.30434782608695654,grocery
Low Sodium,,0.19999999999999996,grocery
Facility,,0.41666666666666663,grocery
Ingredients,ingredient,0.8181818181818181,grocery
Health recognition,,0.38888888888888884,grocery
Pack quantity,pack_quantity,0.8461538461538461,grocery
Pack size,,0.33333333333333337,grocery
E-commerce platform,,0.26315789473684215,grocery
Award,,0.4,grocery
Free from,,0.23076923076923073,grocery
Sodium content,,0.2857142857142857,grocery
Bakery type,,0.5,grocery
Bakery specifications,,0.33333333333333337,grocery
Food type,,0.5,grocery
Cookies flavor,,0.4285714285714286,grocery
Packing type,packing_type,0.8333333333333334,grocery
Connection with,,0.2666666666666667,grocery
Listed in,,0.33333333333333337,grocery
Certifications,,0.3571428571428571,grocery
Commitment,,0.30000000000000004,grocery
Supplier,,0.26086956521739135,grocery
Product Code,,0.5833333333333333,grocery
Certification,,0.3846153846153846,grocery
Free From,,0.23076923076923073,grocery
Contains,,0.26086956521739135,grocery
Sodium Level,,0.25,grocery
Food Type,,0.41666666666666663,grocery
Weight Capacity,,0.2666666666666667,grocery
Packing Type,,0.75,grocery
Social Responsibility,,0.2857142857142857,grocery
Whole Grain Content,,0.26315789473684215,grocery
Allergen Information,,0.35,grocery
Artificial Content,,0.26086956521739135,grocery
Trans Fat,,0.33333333333333337,grocery
Soy Content,,0.2727272727272727,grocery
Rice Content,,0.33333333333333337,grocery
Cholesterol Content,,0.21739130434782605,grocery
Recommended,,0.2727272727272727,grocery
Pack Size,,0.33333333333333337,grocery
Dietary Information,,0.3157894736842105,grocery
Flavors,,0.7142857142857143,grocery
Total Capacity (Weight),,0.26086956521739135,grocery
Cookies Type,,0.41666666666666663,grocery
Product Variety Pack,,0.4,grocery
Cookie Flavours,,0.33333333333333337,grocery
Contains Whole Grain,,0.30000000000000004,grocery
Low Glycemic,,0.25,grocery
Nut Free,,0.25,grocery
Certified Source of Whole Grain,,0.22580645161290325,grocery
Vanilla Mini Cookies Features,,0.1724137931034483,grocery
Vanilla Mini Cookies Organic Ingredients,,0.25,grocery
Manufacturer,,0.43999999999999995,grocery
SKU,,0.09999999999999998,grocery
Material,,0.375,grocery
Insulation,,0.4,grocery
Double-cupping need,,0.26315789473684215,grocery
Beverage sleeves need,,0.21739130434782605,grocery
