,Category,Mapped Attribute,Count,Percentage
0,grocery,product title,29,7.11
1,grocery,product_type,6,1.47
2,grocery,product_type,6,1.47
3,grocery,capacity,3,0.74
4,grocery,brand,24,5.88
5,grocery,brand,24,5.88
6,grocery,series,3,0.74
7,grocery,product description,2,0.49
8,grocery,volume,5,1.23
9,grocery,packing_type,6,1.47
10,grocery,pricing,2,0.49
11,grocery,line,1,0.25
12,grocery,product title,8,1.96
13,grocery,variant,1,0.25
14,grocery,product_type,4,0.98
15,grocery,model,4,0.98
16,grocery,glass type,1,0.25
17,grocery,size/weight,5,1.23
18,grocery,size/weight,5,1.23
19,grocery,series,1,0.25
20,grocery,manufacture,1,0.25
21,grocery,pricing type,1,0.25
22,grocery,packing_type,2,0.49
23,grocery,product_title,2,0.49
24,grocery,product_code,1,0.25
25,grocery,product_type,1,0.25
26,grocery,flavor,10,2.45
27,grocery,flavor,10,2.45
28,grocery,serve,1,0.25
29,grocery,producttitle,2,0.49
30,grocery,description,2,0.49
31,grocery,foodtype,1,0.25
32,grocery,size/weight,1,0.25
33,grocery,packing_type,2,0.49
34,grocery,retail_upc,12,2.94
35,grocery,quantity,12,2.94
36,grocery,design_style,4,0.98
37,grocery,best for,1,0.25
38,grocery,product_title,1,0.25
39,grocery,product_description,2,0.49
40,grocery,product code,2,0.49
41,grocery,size/weight,2,0.49
42,grocery,recommended by,2,0.49
43,grocery,anti_allergy,1,0.25
44,grocery,sweetened,2,0.49
45,grocery,anti_allergy,2,0.49
46,grocery,fiber content,2,0.49
47,grocery,certified,1,0.25
48,grocery,whole grain content,2,0.49
49,grocery,low sodium,1,0.25
50,grocery,facility,1,0.25
51,grocery,ingredient,5,1.23
52,grocery,health recognition,1,0.25
53,grocery,pack_quantity,1,0.25
54,grocery,pack size,1,0.25
55,grocery,e-commerce platform,1,0.25
56,grocery,award_title,1,0.25
57,grocery,anti_allergy,1,0.25
58,grocery,anti_allergy,1,0.25
59,grocery,sodium content,1,0.25
60,grocery,bakery type,1,0.25
61,grocery,bakery specifications,1,0.25
62,grocery,food type,1,0.25
63,grocery,cookies flavor,1,0.25
64,grocery,packing_type,1,0.25
65,grocery,packing_type,1,0.25
66,grocery,connection with,1,0.25
67,grocery,listed in,1,0.25
68,grocery,certifications,3,0.74
69,grocery,commitment,1,0.25
70,grocery,supplier,6,1.47
71,grocery,product code,5,1.23
72,grocery,certification,1,0.25
73,grocery,anti_allergy,1,0.25
74,grocery,anti_allergy,1,0.25
75,grocery,contains,1,0.25
76,grocery,sodium level,2,0.49
77,grocery,food type,3,0.74
78,grocery,size/weight,1,0.25
79,grocery,packing_type,5,1.23
80,grocery,packing_type,5,1.23
81,grocery,social responsibility,1,0.25
82,grocery,whole grain content,1,0.25
83,grocery,anti_allergy,2,0.49
84,grocery,artificial content,1,0.25
85,grocery,trans fat,2,0.49
86,grocery,soy content,1,0.25
87,grocery,rice content,1,0.25
88,grocery,cholesterol content,1,0.25
89,grocery,recommended,1,0.25
90,grocery,pack size,3,0.74
91,grocery,dietary information,1,0.25
92,grocery,flavor,1,0.25
93,grocery,size/weight,1,0.25
94,grocery,cookies type,2,0.49
95,grocery,packing_type,1,0.25
96,grocery,cookie flavours,1,0.25
97,grocery,contains whole grain,1,0.25
98,grocery,low glycemic,1,0.25
99,grocery,anti_allergy,1,0.25
100,grocery,certified source of whole grain,1,0.25
101,grocery,vanilla mini cookies features,1,0.25
102,grocery,ingredient,1,0.25
103,grocery,manufacturer,1,0.25
104,grocery,sku,1,0.25
105,grocery,material,3,0.74
106,grocery,insulation,2,0.49
107,grocery,double-cupping need,1,0.25
108,grocery,beverage sleeves need,1,0.25
109,grocery,polystyrene foam,1,0.25
110,grocery,cup volume,1,0.25
111,grocery,model number,2,0.49
112,grocery,vendor,2,0.49
113,grocery,polystyrene foam,1,0.25
114,grocery,features,3,0.74
115,grocery,compostability,1,0.25
116,grocery,alternate item number,1,0.25
117,grocery,inner packaging,1,0.25
118,grocery,product nature,1,0.25
119,grocery,brewing equipment,1,0.25
120,grocery,coffee origin,1,0.25
121,grocery,productdescription,1,0.25
122,grocery,beveragetype,1,0.25
123,grocery,roast type,1,0.25
124,grocery,quantity per box,1,0.25
125,grocery,coffee type,1,0.25
126,grocery,product number,2,0.49
127,grocery,return policy,1,0.25
128,grocery,coffee quality,1,0.25
129,grocery,coffee roast,1,0.25
130,grocery,coffee flavor,1,0.25
131,grocery,compatibility,1,0.25
132,grocery,alternate item,1,0.25
133,grocery,ingredient,1,0.25
134,grocery,purpose,1,0.25
135,grocery,intended use,3,0.74
136,grocery,special feature,2,0.49
137,grocery,pack_quantity,1,0.25
