,Category,Mapped Attribute,Count,Percentage
0,grocery,product_title,3,15.79
1,grocery,attributes,2,10.53
2,grocery,brand,1,5.26
3,grocery,brand,1,5.26
4,grocery,product_code,1,5.26
5,grocery,pack_size,1,5.26
6,grocery,carton_quantity,1,5.26
7,grocery,category,1,5.26
8,grocery,anti_allergy,1,5.26
9,grocery,anti_allergy,1,5.26
10,grocery,fiber_content,1,5.26
11,grocery,whole_grain_content,1,5.26
12,grocery,sodium_content,1,5.26
13,grocery,cookie_type,1,5.26
14,grocery,chocolate_type,1,5.26
15,grocery,recommended_by,1,5.26
16,grocery,award_title,1,5.26
17,home,product_title,8,15.69
18,home,attributes,4,7.84
19,home,categories,1,1.96
20,home,brand,4,7.84
21,home,product_type,3,5.88
22,home,product_type,3,5.88
23,home,design,1,1.96
24,home,material,1,1.96
25,home,material,1,1.96
26,home,coating,1,1.96
27,home,capacity,3,5.88
28,home,capacity,3,5.88
29,home,casters,1,1.96
30,home,certification,1,1.96
31,home,certification,1,1.96
32,home,power_source,1,1.96
33,home,mounting_type,1,1.96
34,home,number_of_baskets,1,1.96
35,home,basket_material,1,1.96
36,home,temperature_control_range,1,1.96
37,home,features,1,1.96
38,home,certification,1,1.96
39,home,certification,1,1.96
40,home,btu,1,1.96
41,home,model,2,3.92
42,home,product_category,1,1.96
43,home,dimensions,2,3.92
44,home,quantity,1,1.96
45,home,usage,1,1.96
46,home,application_surface,1,1.96
47,home,pack_size,1,1.96
48,home,thickness,1,1.96
49,home,grade,1,1.96
50,home,application,1,1.96
51,home,packaging,1,1.96
52,home,retail_upc,1,1.96
53,home,color,1,1.96
54,home,color,1,1.96
55,jewelry,product_title,2,12.5
56,jewelry,brand,1,6.25
57,jewelry,material,1,6.25
58,jewelry,width,1,6.25
59,jewelry,color_options,1,6.25
60,jewelry,product_type,1,6.25
61,jewelry,product_type,1,6.25
62,jewelry,vendor,1,6.25
63,jewelry,model_number,2,12.5
64,jewelry,model_number,2,12.5
65,jewelry,product,1,6.25
66,jewelry,brand,1,6.25
67,jewelry,style,1,6.25
68,jewelry,category,1,6.25
69,jewelry,jeweler,1,6.25
70,jewelry,description,1,6.25
71,office,product_title,9,12.86
72,office,attributes,2,2.86
73,office,brand,7,10.0
74,office,brand,7,10.0
75,office,model,2,2.86
76,office,size,2,2.86
77,office,sheets_per_pad,1,1.43
78,office,pads_per_pack,1,1.43
79,office,paper_weight,1,1.43
80,office,paper_type,2,2.86
81,office,recycled_content,1,1.43
82,office,color,5,7.14
83,office,packaging,1,1.43
84,office,retail_upc,1,1.43
85,office,retail_upc,1,1.43
86,office,inner_packaging,2,2.86
87,office,alternate_items,1,1.43
88,office,model_number,4,5.71
89,office,capacity,2,2.86
90,office,capacity,2,2.86
91,office,card_size,1,1.43
92,office,features,5,7.14
93,office,category,2,2.86
94,office,product_type,1,1.43
95,office,product_type,1,1.43
96,office,ink_color,1,1.43
97,office,tip_size,1,1.43
98,office,product_url,1,1.43
99,office,quantity,1,1.43
100,office,pack_size,1,1.43
101,office,product_code,1,1.43
102,office,weight,1,1.43
103,office,paper_size,1,1.43
104,office,acid_free,1,1.43
105,office,compatible_with,1,1.43
106,office,matching_envelopes,1,1.43
107,office,retail_upc,1,1.43
108,office,retail_upc,1,1.43
109,office,pack_quantity,1,1.43
110,office,application_type,1,1.43
111,office,material,1,1.43
112,office,material,1,1.43
113,office,sheet_size,1,1.43
114,office,uses,1,1.43
