,Category,Mapped Attribute,Count,Percentage
0,grocery,brand,42,11.73
1,grocery,brand,42,11.73
2,grocery,series,4,1.12
3,grocery,product_name,11,3.07
4,grocery,capacity,15,4.19
5,grocery,model,11,3.07
6,grocery,product_type,6,1.68
7,grocery,alternate_name,1,0.28
8,grocery,manufacturer,2,0.56
9,grocery,packing_type,11,3.07
10,grocery,style,4,1.12
11,grocery,size/weight,6,1.68
12,grocery,size/weight,6,1.68
13,grocery,product_title,28,7.82
14,grocery,product_code,11,3.07
15,grocery,retailer,6,1.68
16,grocery,size/weight,13,3.63
17,grocery,flavor,12,3.35
18,grocery,flavor,12,3.35
19,grocery,usage,4,1.12
20,grocery,portability,1,0.28
21,grocery,product_type,4,1.12
22,grocery,packaging_type,1,0.28
23,grocery,retail_upc,9,2.51
24,grocery,use_case,1,0.28
25,grocery,use,1,0.28
26,grocery,model_number,7,1.96
27,grocery,seller,4,1.12
28,grocery,attributes,2,0.56
29,grocery,pack_size,1,0.28
30,grocery,food_type,6,1.68
31,grocery,allergen_free,2,0.56
32,grocery,certifications,3,0.84
33,grocery,dietary_features,3,0.84
34,grocery,nutritional_info,1,0.28
35,grocery,packing_type,5,1.4
36,grocery,packing_type,5,1.4
37,grocery,manufacturing_info,1,0.28
38,grocery,package_quantity,3,0.84
39,grocery,dietary_certifications,2,0.56
40,grocery,nutritional_highlights,2,0.56
41,grocery,additional_info,2,0.56
42,grocery,quantity_per_carton,5,1.4
43,grocery,allergen_information,1,0.28
44,grocery,additional_information,1,0.28
45,grocery,distributor,1,0.28
46,grocery,individual_pack_weights,1,0.28
47,grocery,flavor,4,1.12
48,grocery,material,2,0.56
49,grocery,design_style,1,0.28
50,grocery,quantity,7,1.96
51,grocery,features,15,4.19
52,grocery,alternate_item_numbers,2,0.56
53,grocery,retail_upc,1,0.28
54,grocery,awards,2,0.56
55,grocery,consumer_preference,1,0.28
56,grocery,inner_packaging,1,0.28
57,grocery,environmental_considerations,1,0.28
58,grocery,blend,1,0.28
59,grocery,roast_level,3,0.84
60,grocery,brewing_method,1,0.28
61,grocery,beverage_type,3,0.84
62,grocery,coffee_type,2,0.56
63,grocery,compatibility,1,0.28
64,grocery,return_policy,1,0.28
65,grocery,canister_size,1,0.28
66,grocery,sugar_type,1,0.28
67,grocery,form,1,0.28
68,grocery,volume_per_unit,2,0.56
69,grocery,package_type,4,1.12
70,grocery,units_per_package,2,0.56
71,grocery,intended_use,1,0.28
72,grocery,storage_suggestion,1,0.28
73,grocery,unit_weight,2,0.56
74,grocery,package_size,1,0.28
75,grocery,dimensions,5,1.4
76,grocery,additional_notes,5,1.4
77,grocery,category,4,1.12
78,grocery,bundle,1,0.28
79,grocery,bundle_items,1,0.28
80,grocery,channel,1,0.28
81,grocery,page,1,0.28
82,grocery,condition,1,0.28
83,grocery,product,2,0.56
84,grocery,vendor,1,0.28
85,grocery,compostable,1,0.28
86,grocery,cube,1,0.28
87,grocery,tea_type,1,0.28
88,grocery,organic,1,0.28
89,grocery,serving_size,1,0.28
90,grocery,ingredient,2,0.56
91,grocery,preparation,1,0.28
92,grocery,calories,1,0.28
93,grocery,trans_fat,2,0.56
94,grocery,calories_per_cookie,1,0.28
95,grocery,quantity_per_box,1,0.28
96,grocery,cookie_type,1,0.28
97,home,product_title,150,10.53
98,home,attributes,67,4.7
99,home,product title,14,0.98
100,home,product_type,7,0.49
101,home,product_type,7,0.49
102,home,power source,3,0.21
