,Category,Mapped Attribute,Count,Percentage
0,grocery,additional accolades,1,0.392156862745098
1,grocery,ingredient,1,0.392156862745098
2,grocery,anti_allergy,2,0.7843137254901961
3,grocery,anti_allergy,1,0.392156862745098
4,grocery,alternate item #,1,0.392156862745098
5,grocery,auto shut-off,3,1.1764705882352942
6,grocery,auto shut-off,1,0.392156862745098
7,grocery,award_title,6,2.3529411764705883
8,grocery,anti_allergy,2,0.7843137254901961
9,grocery,bakery environment,1,0.392156862745098
10,grocery,beverage type,2,0.7843137254901961
11,grocery,bottle size (oz),1,0.392156862745098
12,grocery,brand,16,6.2745098039215685
13,grocery,brand,16,6.2745098039215685
14,grocery,brewing features,1,0.392156862745098
15,grocery,brewing process,1,0.392156862745098
16,grocery,calories per serving,1,0.392156862745098
17,grocery,capacity,11,4.313725490196078
18,grocery,capacity (volume),1,0.392156862745098
19,grocery,size/weight,4,1.568627450980392
20,grocery,carafe compatibility,1,0.392156862745098
21,grocery,carafe type,5,1.96078431372549
22,grocery,certification,2,0.7843137254901961
23,grocery,certifications,2,0.7843137254901961
24,grocery,award_title,1,0.392156862745098
25,grocery,cleanse,2,0.7843137254901961
26,grocery,cleanse,1,0.392156862745098
27,grocery,coffee bean origin,1,0.392156862745098
28,grocery,coffee bean type,2,0.7843137254901961
29,grocery,coffee type,1,0.392156862745098
30,grocery,color,1,0.392156862745098
31,grocery,compatibility,1,0.392156862745098
32,grocery,container size,3,1.1764705882352942
33,grocery,other_applied_container,2,0.7843137254901961
34,grocery,contains,1,0.392156862745098
35,grocery,cookie varieties,1,0.392156862745098
36,grocery,description type,1,0.392156862745098
37,grocery,design_style,1,0.392156862745098
38,grocery,dietary certification,2,0.7843137254901961
39,grocery,dietary restrictions,2,0.7843137254901961
40,grocery,dimensions,3,1.1764705882352942
41,grocery,dimensions (l x w x h),2,0.7843137254901961
42,grocery,dimensions (inches),1,0.392156862745098
43,grocery,dishwasher safe,1,0.392156862745098
44,grocery,equipment needed,1,0.392156862745098
45,grocery,features,1,0.392156862745098
46,grocery,fiber content,1,0.392156862745098
47,grocery,filter basket,3,1.1764705882352942
48,grocery,flavor,6,2.3529411764705883
49,grocery,flavor,6,2.3529411764705883
50,grocery,flavor,2,0.7843137254901961
51,grocery,flavor,1,0.392156862745098
52,grocery,flavor,2,0.7843137254901961
53,grocery,flavor,1,0.392156862745098
54,grocery,food type,3,1.1764705882352942
55,grocery,form,1,0.392156862745098
56,grocery,glass type,1,0.392156862745098
57,grocery,grain composition,1,0.392156862745098
58,grocery,grip description,1,0.392156862745098
59,grocery,ideal for,1,0.392156862745098
60,grocery,indicator light,1,0.392156862745098
61,grocery,ingredient,1,0.392156862745098
62,grocery,intended use,2,0.7843137254901961
63,grocery,manufacturer's location,1,0.392156862745098
64,grocery,brand,1,0.392156862745098
