Category,Attribute,Count,Percentage
grocery,Product Title,29,7.11
grocery,Product Type,6,1.47
grocery,Capacity,3,0.74
grocery,Brand,24,5.88
grocery,Series,3,0.74
grocery,Product Description,2,0.49
grocery,Volume,5,1.23
grocery,Packaging,6,1.47
grocery,Pricing,2,0.49
grocery,Line,1,0.25
grocery,Product title,8,1.96
grocery,Variant,1,0.25
grocery,Type,4,0.98
grocery,Model,4,0.98
grocery,Glass Type,1,0.25
grocery,Size,5,1.23
grocery,Product Series,1,0.25
grocery,Manufacture,1,0.25
grocery,Pricing Type,1,0.25
grocery,Packing,2,0.49
grocery,Product_title,2,0.49
grocery,Product_code,1,0.25
grocery,Product_type,1,0.25
grocery,Flavor,10,2.45
grocery,Serve,1,0.25
grocery,ProductTitle,2,0.49
grocery,Description,2,0.49
grocery,FoodType,1,0.25
grocery,CapacityWeight,1,0.25
grocery,PackingType,2,0.49
grocery,UPC,12,2.94
grocery,Quantity,12,2.94
grocery,Design,4,0.98
grocery,Best For,1,0.25
grocery,Product_Title,1,0.25
grocery,Product_description,2,0.49
grocery,Product code,2,0.49
grocery,Weight,2,0.49
grocery,Recommended by,2,0.49
grocery,Free of,1,0.25
grocery,Sweetened,2,0.49
grocery,Gluten Free,2,0.49
grocery,Fiber content,2,0.49
grocery,Certified,1,0.25
grocery,Whole grain content,2,0.49
grocery,Low Sodium,1,0.25
grocery,Facility,1,0.25
grocery,Ingredients,5,1.23
grocery,Health recognition,1,0.25
grocery,Pack quantity,1,0.25
grocery,Pack size,1,0.25
grocery,E-commerce platform,1,0.25
grocery,Award,1,0.25
grocery,Free from,1,0.25
grocery,Sodium content,1,0.25
grocery,Bakery type,1,0.25
grocery,Bakery specifications,1,0.25
grocery,Food type,1,0.25
grocery,Cookies flavor,1,0.25
grocery,Packing type,1,0.25
grocery,Connection with,1,0.25
grocery,Listed in,1,0.25
grocery,Certifications,3,0.74
grocery,Commitment,1,0.25
grocery,Supplier,6,1.47
grocery,Product Code,5,1.23
grocery,Certification,1,0.25
grocery,Free From,1,0.25
grocery,Contains,1,0.25
grocery,Sodium Level,2,0.49
grocery,Food Type,3,0.74
grocery,Weight Capacity,1,0.25
grocery,Packing Type,5,1.23
grocery,Social Responsibility,1,0.25
grocery,Whole Grain Content,1,0.25
grocery,Allergen Information,2,0.49
grocery,Artificial Content,1,0.25
grocery,Trans Fat,2,0.49
grocery,Soy Content,1,0.25
grocery,Rice Content,1,0.25
grocery,Cholesterol Content,1,0.25
grocery,Recommended,1,0.25
grocery,Pack Size,3,0.74
grocery,Dietary Information,1,0.25
grocery,Flavors,1,0.25
grocery,Total Capacity (Weight),1,0.25
grocery,Cookies Type,2,0.49
grocery,Product Variety Pack,1,0.25
grocery,Cookie Flavours,1,0.25
grocery,Contains Whole Grain,1,0.25
grocery,Low Glycemic,1,0.25
grocery,Nut Free,1,0.25
grocery,Certified Source of Whole Grain,1,0.25
grocery,Vanilla Mini Cookies Features,1,0.25
grocery,Vanilla Mini Cookies Organic Ingredients,1,0.25
grocery,Manufacturer,1,0.25
grocery,SKU,1,0.25
grocery,Material,3,0.74
grocery,Insulation,2,0.49
grocery,Double-cupping need,1,0.25
grocery,Beverage sleeves need,1,0.25
grocery,Polystyrene foam,1,0.25
grocery,Cup Volume,1,0.25
grocery,Model Number,2,0.49
grocery,Vendor,2,0.49
grocery,Polystyrene Foam,1,0.25
grocery,Features,3,0.74
grocery,Compostability,1,0.25
grocery,Alternate Item Number,1,0.25
grocery,Inner Packaging,1,0.25
grocery,Product Nature,1,0.25
grocery,Brewing Equipment,1,0.25
grocery,Coffee Origin,1,0.25
grocery,ProductDescription,1,0.25
grocery,BeverageType,1,0.25
grocery,Roast Type,1,0.25
grocery,Quantity per Box,1,0.25
grocery,Coffee Type,1,0.25
grocery,Product Number,2,0.49
grocery,Return Policy,1,0.25
grocery,Coffee quality,1,0.25
grocery,Coffee Roast,1,0.25
grocery,Coffee Flavor,1,0.25
grocery,Compatibility,1,0.25
grocery,Alternate Item,1,0.25
grocery,Ingredient,1,0.25
grocery,Purpose,1,0.25
grocery,Intended Use,3,0.74
grocery,Special Feature,2,0.49
grocery,Package Quantity,1,0.25
grocery,Package Size,2,0.49
grocery,Composition,1,0.25
grocery,Convenience,1,0.25
grocery,Form,1,0.25
grocery,Premeasured,1,0.25
grocery,Color,1,0.25
grocery,Product Form,1,0.25
grocery,Product Provider,1,0.25
grocery,Beverage Type,2,0.49
grocery,Capacity (Volume),2,0.49
grocery,Product type,2,0.49
grocery,Bottle volume,1,0.25
grocery,Quantity per Carton,1,0.25
grocery,product_title,2,0.49
grocery,product_brand,1,0.25
grocery,product_code,2,0.49
grocery,source,1,0.25
grocery,size,1,0.25
grocery,quantity_per_pack,1,0.25
grocery,natural_source_of,1,0.25
grocery,suitable_for,1,0.25
grocery,product_pack,1,0.25
grocery,store,1,0.25
grocery,flavor,1,0.25
grocery,food_type,1,0.25
grocery,capacity_weight,1,0.25
grocery,packing_type,1,0.25
grocery,Product Category,2,0.49
grocery,Cup Capacity,2,0.49
grocery,Programmable,3,0.74
grocery,Water Filtration,3,0.74
grocery,Carafes Supported,1,0.25
grocery,Removable Filter Basket,3,0.74
grocery,Brewing Pause Feature,1,0.25
grocery,Dimensions,4,0.98
grocery,Auto Shut-off,2,0.49
grocery,Special Cleaning Cycle,1,0.25
grocery,Page,1,0.25
grocery,Bundle Includes,1,0.25
grocery,Outlet,1,0.25
grocery,Recognition,1,0.25
grocery,Title,1,0.25
grocery,Programmability,1,0.25
grocery,Carafes,1,0.25
grocery,Additional Feature,1,0.25
grocery,Cleaning,3,0.74
grocery,Category,3,0.74
grocery,Cup Size,1,0.25
grocery,Carafe,1,0.25
grocery,Feature,1,0.25
grocery,Auto Shut-Off,2,0.49
grocery,Recognitions,1,0.25
grocery,Brewing Capacity,1,0.25
grocery,Brewing Pause 'n Serve,1,0.25
grocery,BPA Free,2,0.49
grocery,Microwave Safe,2,0.49
grocery,Dishwasher Safe,2,0.49
grocery,Special Features,1,0.25
grocery,Brewing Process,1,0.25
grocery,Warmer,1,0.25
grocery,Width,1,0.25
grocery,Depth,1,0.25
grocery,Capacity (Weight),1,0.25
grocery,Compostable,1,0.25
grocery,CUBE,1,0.25
grocery,Product ID,1,0.25
grocery,Provider,1,0.25
grocery,Components,1,0.25
grocery,Organic,1,0.25
grocery,Serving Size,1,0.25
grocery,Item Number,1,0.25
grocery,Preparation,1,0.25
grocery,Cleanup,1,0.25
grocery,Item model number,1,0.25
grocery,Additional_Title,1,0.25
grocery,Food_Type,1,0.25
grocery,Capacity_Weight,1,0.25
grocery,Packing_Type,1,0.25
grocery,Calories,1,0.25
home,Product Title,111,5.96
home,Features,17,0.91
home,Certification,29,1.56
home,Warranty,10,0.54
home,Product,1,0.05
home,Specifications,5,0.27
home,Product title,62,3.33
home,Vat,1,0.05
home,Voltage,14,0.75
home,Type,44,2.36
home,Well,1,0.05
home,Capacity,22,1.18
home,Controls,3,0.16
home,Material,77,4.14
home,Amperage,4,0.21
home,Power,7,0.38
home,Color,49,2.63
home,Compartments,11,0.59
home,Extenders,5,0.27
home,Size,37,1.99
home,Maximum Diameter,7,0.38
home,Maximum Height,7,0.38
home,Product Description,8,0.43
home,Number of Compartments,3,0.16
home,Max Diameter,3,0.16
home,Max Height,3,0.16
home,Product_Title,7,0.38
home,Stemware_or_Tumbler_Maximum_Diameter,1,0.05
home,Manufacturer,10,0.54
home,MPN_Model,1,0.05
home,UPC_EAN,1,0.05
home,Made_in,1,0.05
home,Condition,3,0.16
home,Dishwasher_Safe,1,0.05
home,Stackable,2,0.11
home,NSF_Approved,1,0.05
home,Case_Pack,1,0.05
home,Shipping_Weight,1,0.05
home,Ships_Via,1,0.05
home,Fuel,3,0.16
home,Burners Configuration,1,0.05
home,Ignition,1,0.05
home,Ovens,4,0.21
home,Racks per Oven,1,0.05
home,Flue Riser Size,5,0.27
home,Construction,9,0.48
home,Total BTU,5,0.27
home,Certifications,20,1.07
home,Gas Type,4,0.21
home,Width,23,1.24
home,Burner Configuration,1,0.05
home,Ignition Type,5,0.27
home,Oven Configuration,1,0.05
home,Oven Rack Include,1,0.05
home,Flue Riser,3,0.16
home,Legs,13,0.7
home,Total heat output,1,0.05
home,Product type,5,0.27
home,Fuel type,2,0.11
home,Burners,6,0.32
home,Base,7,0.38
home,Flue riser size,1,0.05
home,BTU,6,0.32
home,Brand,48,2.58
home,Fuel Type,7,0.38
home,Burners Description,1,0.05
home,Oven Type,2,0.11
home,Racks,3,0.16
home,Adjustable Legs,2,0.11
home,Dimensions,30,1.61
home,Tier,1,0.05
home,Temperature tolerance range,1,0.05
home,Number of shelf plates,1,0.05
home,Material of Shelf Plates,1,0.05
home,Protection,2,0.11
home,Number of posts,1,0.05
home,Additional features,4,0.21
home,Pre-assembled,1,0.05
home,Number of stationary traverses,1,0.05
home,Dovetails,1,0.05
home,Model,22,1.18
home,Shelving Dimensions,1,0.05
home,Temperature Resistance,1,0.05
home,Includes,4,0.21
home,Operation Mode,1,0.05
home,Blade Size,1,0.05
home,Applicable For,1,0.05
home,Product attributes,1,0.05
home,Top Material,5,0.27
home,Height,12,0.64
home,Length,15,0.81
home,Undershelf,4,0.21
home,Table Height,2,0.11
home,Metal Gauge,1,0.05
home,Metal Type,1,0.05
home,Table Size,1,0.05
home,Table Type,2,0.11
home,Table Material,3,0.16
home,Top Width,2,0.11
home,Riser Size,1,0.05
home,Table Length,4,0.21
home,Undershelf Material,2,0.11
home,Gauge,6,0.32
home,Stainless Type,2,0.11
home,Product Attributes,3,0.16
home,Temperature Range,1,0.05
home,Door,1,0.05
home,Frequency,3,0.16
home,Cord Length,2,0.11
home,Plug Type,5,0.27
home,Standards,3,0.16
home,Amps,3,0.16
home,Thermostat,3,0.16
home,Door Type,3,0.16
home,Wattage,4,0.21
home,Product dimensions,4,0.21
home,Storage,1,0.05
home,Product description,6,0.32
home,Construction material,2,0.11
home,Insulation material,1,0.05
home,Casters,11,0.59
home,Brakes,1,0.05
home,Product color,1,0.05
home,Manufacturer Part Number,1,0.05
home,UPC,12,0.64
home,Made in,2,0.11
home,Case Pack,1,0.05
home,Shipping Weight,2,0.11
home,Shipping Via,1,0.05
home,Product Category,4,0.21
home,Installation,2,0.11
home,Power Type,1,0.05
home,Griddle Plate Material,2,0.11
home,Griddle Area,1,0.05
home,Construction Material,4,0.21
home,Power Output,2,0.11
home,Supplier,6,0.32
home,Power type,1,0.05
home,Cooking Surface Dimensions,1,0.05
home,Phase,3,0.16
home,Series,4,0.21
home,Top Type,2,0.11
home,Dimensions (WxD),1,0.05
home,Backsplash,9,0.48
home,Top,2,0.11
home,Leg Material,11,0.59
home,Feet Type,3,0.16
home,Product Type,20,1.07
home,Front Material,2,0.11
home,Side Material,1,0.05
home,Base Type,4,0.21
home,Additional Feature,4,0.21
home,Base Material,1,0.05
home,Fuel_Type,1,0.05
home,Location,2,0.11
home,Depth,9,0.48
home,Grate_Material,2,0.11
home,Grate_Design,1,0.05
home,Rock_Holder_Material,2,0.11
home,Front_Material,2,0.11
home,Balance_Material,2,0.11
home,Energy_Rating,1,0.05
home,Grate Material,1,0.05
home,Grate Removable In,1,0.05
home,Rock Holder Material,1,0.05
home,Balance Material,1,0.05
home,Export Model,1,0.05
home,Product_title,5,0.27
home,Power_Source,1,0.05
home,Product_Type,2,0.11
home,Placement,1,0.05
home,Grate_Details,1,0.05
home,Leg_Details,1,0.05
home,Power_Rating,1,0.05
home,Model_Details,1,0.05
home,Seller,3,0.16
home,Design,4,0.21
home,Casters Size,1,0.05
home,Regulator,2,0.11
home,Hoses,1,0.05
home,Pilot,2,0.11
home,Cooking Grid Material,1,0.05
home,Extra Purchase Requirement,1,0.05
home,Manufacturer or Supplier Item,1,0.05
home,ProductTitle,5,0.27
home,Approval,2,0.11
home,Transportable,1,0.05
home,Materials,2,0.11
home,Radiants,2,0.11
home,LegMaterial,2,0.11
home,CompleteGasSystem,1,0.05
home,Tanks,1,0.05
home,Water Tubs,1,0.05
home,Cooking Grids,1,0.05
home,Legs Material,2,0.11
home,Gas System,1,0.05
home,Ignitor,1,0.05
home,Gas Tanks,1,0.05
home,Description,5,0.27
home,Maximum Stemware or Tumbler Diameter,2,0.11
home,Manufacturer Details,1,0.05
home,Features and Product Details,1,0.05
home,Dimensions & Packaging Info,1,0.05
home,Warranty Info,1,0.05
home,Number of Extenders,2,0.11
home,Maker,1,0.05
home,Type of product,1,0.05
home,Product sub-category,1,0.05
home,Max. dia.,1,0.05
home,Max. height,1,0.05
home,Product Brand,4,0.21
home,Product Series,1,0.05
home,Bin Depth,1,0.05
home,Drain Diameter,1,0.05
home,Bottle Racks,1,0.05
home,Back Splash,3,0.16
home,Deep Bin,1,0.05
home,Drain,1,0.05
home,Attributes,9,0.48
home,Product Code,8,0.43
home,Market,1,0.05
home,Commercial or Residential,1,0.05
home,Efficiency,2,0.11
home,Finish,5,0.27
home,Energy Efficiency,2,0.11
home,Mount,1,0.05
home,Stain Resistant,1,0.05
home,Heat Resistant,1,0.05
home,Motor Power Level,1,0.05
home,Noise Level,1,0.05
home,Manufacturing Location,1,0.05
home,Amount per pack,1,0.05
home,Properties,1,0.05
home,Age Group,1,0.05
home,Characteristic,1,0.05
home,Feature,2,0.11
home,Appearance,1,0.05
home,Product Features,1,0.05
home,Number of pieces,2,0.11
home,Letter height,1,0.05
home,Letter thickness,1,0.05
home,Age Recommendation,1,0.05
home,Adhesive,1,0.05
home,Shape,8,0.43
home,Flow Direction,1,0.05
home,Crossrails,3,0.16
home,Feet Material,4,0.21
home,Additional Information,1,0.05
home,Direction,2,0.11
home,Additional Features,3,0.16
home,Delivery,1,0.05
home,Product specifications,1,0.05
home,Load Capacity,1,0.05
home,Caster Type,3,0.16
home,Product additional title,1,0.05
home,Number of shelves,1,0.05
home,Shelf type,2,0.11
home,Weight capacity per shelf,1,0.05
home,Number of Shelves,1,0.05
home,Capacity per shelf,1,0.05
home,Gallon,1,0.05
home,Diameter,4,0.21
home,Product category,1,0.05
home,Available from,1,0.05
home,Retailer,3,0.16
home,Product_category,1,0.05
home,Duty_type,1,0.05
home,Control Type,4,0.21
home,Settings,1,0.05
home,Cleanliness,1,0.05
home,Pre-programmed Menu,1,0.05
home,Power Save,1,0.05
home,Notification Type,1,0.05
home,Power Levels,1,0.05
home,Stage Cooking,1,0.05
home,Ease of Cleaning,1,0.05
home,One Touch Cook Function,1,0.05
home,Energy Save Function,1,0.05
home,Cooking Completion Indicator,1,0.05
home,Max. Rack,1,0.05
home,MPN / Model,1,0.05
home,UPC / EAN,1,0.05
home,Made In,1,0.05
home,Dishwasher Safe,1,0.05
home,Ships Via,1,0.05
home,Warranty Terms,1,0.05
home,Number of compartments,2,0.11
home,Maximum diameter,1,0.05
home,Maximum height,1,0.05
home,Sink Specifications,2,0.11
home,Faucet,2,0.11
home,Urn Trough,2,0.11
home,Trough feature,1,0.05
home,Counter Top Edge,2,0.11
home,Drain Plate,1,0.05
home,Undershelves,1,0.05
home,Table Legs,1,0.05
