Category,Attribute,Count,Percentage
grocery,brand,42,11.73
grocery,series,4,1.12
grocery,product_name,11,3.07
grocery,capacity,15,4.19
grocery,model,11,3.07
grocery,type,6,1.68
grocery,alternate_name,1,0.28
grocery,manufacturer,2,0.56
grocery,packaging,11,3.07
grocery,style,4,1.12
grocery,size,6,1.68
grocery,product_title,28,7.82
grocery,product_code,11,3.07
grocery,retailer,6,1.68
grocery,weight,13,3.63
grocery,flavor,12,3.35
grocery,usage,4,1.12
grocery,portability,1,0.28
grocery,product_type,4,1.12
grocery,packaging_type,1,0.28
grocery,UPC,9,2.51
grocery,use_case,1,0.28
grocery,use,1,0.28
grocery,model_number,7,1.96
grocery,seller,4,1.12
grocery,attributes,2,0.56
grocery,pack_size,1,0.28
grocery,food_type,6,1.68
grocery,allergen_free,2,0.56
grocery,certifications,3,0.84
grocery,dietary_features,3,0.84
grocery,nutritional_info,1,0.28
grocery,packing_type,5,1.40
grocery,manufacturing_info,1,0.28
grocery,package_quantity,3,0.84
grocery,dietary_certifications,2,0.56
grocery,nutritional_highlights,2,0.56
grocery,additional_info,2,0.56
grocery,quantity_per_carton,5,1.40
grocery,allergen_information,1,0.28
grocery,additional_information,1,0.28
grocery,distributor,1,0.28
grocery,individual_pack_weights,1,0.28
grocery,flavors,4,1.12
grocery,material,2,0.56
grocery,design,1,0.28
grocery,quantity,7,1.96
grocery,features,15,4.19
grocery,alternate_item_numbers,2,0.56
grocery,upc,1,0.28
grocery,awards,2,0.56
grocery,consumer_preference,1,0.28
grocery,inner_packaging,1,0.28
grocery,environmental_considerations,1,0.28
grocery,blend,1,0.28
grocery,roast_level,3,0.84
grocery,brewing_method,1,0.28
grocery,beverage_type,3,0.84
grocery,coffee_type,2,0.56
grocery,compatibility,1,0.28
grocery,return_policy,1,0.28
grocery,canister_size,1,0.28
grocery,sugar_type,1,0.28
grocery,form,1,0.28
grocery,volume_per_unit,2,0.56
grocery,package_type,4,1.12
grocery,units_per_package,2,0.56
grocery,intended_use,1,0.28
grocery,storage_suggestion,1,0.28
grocery,unit_weight,2,0.56
grocery,package_size,1,0.28
grocery,dimensions,5,1.40
grocery,additional_notes,5,1.40
grocery,category,4,1.12
grocery,bundle,1,0.28
grocery,bundle_items,1,0.28
grocery,outlet,1,0.28
grocery,page,1,0.28
grocery,condition,1,0.28
grocery,Product,2,0.56
grocery,vendor,1,0.28
grocery,compostable,1,0.28
grocery,cube,1,0.28
grocery,tea_type,1,0.28
grocery,organic,1,0.28
grocery,serving_size,1,0.28
grocery,ingredients,2,0.56
grocery,preparation,1,0.28
grocery,calories,1,0.28
grocery,trans_fat,2,0.56
grocery,calories_per_cookie,1,0.28
grocery,quantity_per_box,1,0.28
grocery,cookie_type,1,0.28
home,product_title,150,10.53
home,attributes,67,4.70
home,Product Title,14,0.98
home,Type,7,0.49
home,Power Source,3,0.21
home,Placement,1,0.07
home,Capacity,2,0.14
home,Control Features,1,0.07
home,Material,10,0.70
home,Voltage,5,0.35
home,Frequency,3,0.21
home,Phase,3,0.21
home,Amperage,1,0.07
home,Power,2,0.14
home,Certifications,3,0.21
home,brand,94,6.60
home,model,50,3.51
home,features,48,3.37
home,color,37,2.60
home,certification,11,0.77
home,productTitle,1,0.07
home,manufacturer,3,0.21
home,modelNumber,1,0.07
